scenario,family,signal,mean_ic,ic_t,n_events,exploratory,reject_reason
earnings_surprise,earnings,surprise_pct,0.0442,2.85,27279,False,sector-concentrated (Unknown 60%)
sue_standardized,earnings,sue,0.0366,2.19,26392,False,does not survive 25 bps cost; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
earnings_momentum,earnings,earnings_momentum,-0.002,-0.1,27768,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 63%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
earnings_acceleration,earnings,earnings_accel,0.0371,2.57,27424,False,spread hit-rate below 0.55 and spread not strongly compensating; does not survive 25 bps cost; sector-concentrated (Unknown 63%); not robust across rate regimes
beat_streak,earnings,beat_streak,0.0289,1.78,29032,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_fade,earnings,surprise_fade,-0.0442,-2.85,27279,True,"mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 65%); not stable across subperiods (a half flips sign); exploratory/challenge scenario - reported, not promoted as confirmed"
revenue_growth,fundamentals,rev_growth,0.0135,0.71,20379,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
earnings_growth,fundamentals,ni_growth,0.0113,0.68,28455,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
gross_margin,fundamentals,gross_margin,0.0097,0.63,28568,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 63%); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
operating_margin,fundamentals,op_margin,-0.0011,-0.06,28581,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
fcf_margin,fundamentals,fcf_margin,0.0154,0.99,27653,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
roa_quality,fundamentals,roa,0.003,0.18,28502,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
low_leverage,fundamentals,low_debt,-0.0117,-0.69,28405,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 60%); not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
quality_composite,fundamentals,quality_composite,0.0163,1.0,27584,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
balance_sheet_strength,fundamentals,bs_strength,0.0158,0.84,28366,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
quality_improvement,fundamentals,quality_improvement,0.0286,1.84,29032,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
earnings_yield_value,valuation,earnings_yield,0.0,0.0,28139,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
price_momentum_21,price,mom_pre_21,0.0202,1.14,11157,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 63%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
price_momentum_63,price,mom_pre_63,0.0086,0.4,10931,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 61%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
low_volatility,price,low_vol,-0.0294,-1.21,11217,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
low_beta,price,low_beta,-0.0212,-0.78,11217,False,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
