scenario,family,cycle,n_events,n_months,mean_ic,ic_t,ic_p,bh_significant,mean_spread,spread_hit_rate,net_spread_25bps,subperiod_stable,beats_placebo,exploratory,promoted
earnings_surprise,earnings,1,27279,120,0.0442,2.85,0.0044,True,0.0095,0.6583,0.0046,True,False,False,False
sue_standardized,earnings,1,26392,120,0.0366,2.19,0.0283,False,0.0026,0.575,-0.0023,True,True,False,False
surprise_magnitude,earnings,1,29032,120,0.0411,2.68,0.0074,True,0.0066,0.6083,0.0016,True,False,False,True
positive_surprise_asymmetry,earnings,1,28654,120,0.0488,3.08,0.0021,True,0.0051,0.5917,0.0002,True,True,False,True
earnings_momentum,earnings,1,27768,120,-0.002,-0.1,0.9186,False,-0.0012,0.4583,-0.0062,False,False,False,False
earnings_acceleration,earnings,1,27424,120,0.0371,2.57,0.0103,True,0.0036,0.5167,-0.0013,True,True,False,False
beat_streak,earnings,1,29032,120,0.0289,1.78,0.0759,False,-0.0038,0.4667,-0.0087,True,False,False,False
surprise_fade,earnings,1,27279,120,-0.0442,-2.85,0.0044,True,-0.009,0.6583,-0.0139,False,True,True,False
revenue_growth,fundamentals,2,20379,120,0.0135,0.71,0.4801,False,0.0049,0.5333,-0.0,True,True,False,False
earnings_growth,fundamentals,2,28455,120,0.0113,0.68,0.4964,False,0.0052,0.575,0.0003,False,False,False,False
gross_margin,fundamentals,2,28568,120,0.0097,0.63,0.5257,False,-0.0031,0.5333,-0.0081,True,False,False,False
operating_margin,fundamentals,2,28581,120,-0.0011,-0.06,0.9493,False,-0.0083,0.5083,-0.0132,False,False,False,False
fcf_margin,fundamentals,2,27653,120,0.0154,0.99,0.3224,False,-0.0004,0.475,-0.0054,True,False,False,False
roa_quality,fundamentals,2,28502,120,0.003,0.18,0.8588,False,-0.0066,0.475,-0.0115,False,False,False,False
low_leverage,fundamentals,2,28405,120,-0.0117,-0.69,0.4892,False,-0.0056,0.5,-0.0105,False,False,False,False
quality_composite,fundamentals,2,27584,120,0.0163,1.0,0.3181,False,-0.0009,0.5,-0.0059,True,False,False,False
balance_sheet_strength,fundamentals,2,28366,120,0.0158,0.84,0.4006,False,0.0016,0.6083,-0.0034,True,False,False,False
quality_improvement,fundamentals,2,29032,120,0.0286,1.84,0.0659,False,0.0089,0.625,0.004,True,False,False,False
earnings_yield_value,valuation,2,28139,120,0.0,0.0,1.0,False,-0.0061,0.5417,-0.0111,False,False,False,False
price_momentum_21,price,3,11157,119,0.0202,1.14,0.2549,False,0.0081,0.4958,0.0031,True,False,False,False
price_momentum_63,price,3,10931,116,0.0086,0.4,0.6857,False,0.0008,0.4914,-0.0042,False,False,False,False
low_volatility,price,3,11217,119,-0.0294,-1.21,0.2249,False,-0.0198,0.6134,-0.0248,False,False,False,False
low_beta,price,3,11217,119,-0.0212,-0.78,0.4339,False,-0.0115,0.5546,-0.0165,False,False,False,False
liquidity,price,3,0,0,,,,False,,,,False,False,True,False
sector_leadership,price,3,11157,119,0.0113,0.71,0.4772,False,0.0062,0.5042,0.0012,False,False,False,False
surprise_high_rates,regime,4,13776,45,0.0381,1.46,0.1448,False,0.0067,0.6444,0.0017,False,True,False,False
surprise_easy_curve,regime,4,23381,96,0.0327,1.76,0.0782,False,0.0076,0.625,0.0026,True,False,False,False
surprise_drawdown,regime,4,1372,20,0.0623,1.86,0.063,False,0.0153,0.7,0.0104,True,True,False,False
surprise_high_oil,regime,4,15712,76,0.0516,2.97,0.0029,True,0.0127,0.6579,0.0078,True,False,True,False
sue_easy_curve,regime,4,22532,96,0.0219,1.06,0.2884,False,0.0014,0.5625,-0.0035,False,False,False,False
surprise_x_quality,interaction,5,26839,120,0.047,2.97,0.0029,True,0.0103,0.65,0.0054,True,False,False,True
surprise_x_qualimp,interaction,5,27279,120,0.0426,2.75,0.006,True,0.0099,0.65,0.005,True,True,False,False
surprise_x_margin_exp,interaction,5,26792,120,0.0178,0.94,0.3466,False,0.0044,0.5333,-0.0005,True,False,False,False
surprise_x_valuation,interaction,5,26622,120,0.0177,1.06,0.2874,False,0.003,0.5667,-0.0019,True,True,False,False
surprise_x_momentum,interaction,5,10731,119,0.0235,1.27,0.2034,False,0.0095,0.5462,0.0045,True,False,False,False
surprise_x_lowvol,interaction,5,10790,119,-0.0238,-1.01,0.3139,False,-0.0161,0.5546,-0.0211,False,False,False,False
sue_x_quality,interaction,6,25990,120,-0.0002,-0.01,0.9901,False,-0.0077,0.4917,-0.0127,False,False,False,False
sue_x_momentum,interaction,6,10868,119,0.0179,1.02,0.3091,False,0.007,0.5042,0.002,True,False,False,False
beats_x_momentum,interaction,6,11157,119,0.0256,1.59,0.1118,False,0.0036,0.5378,-0.0013,True,False,False,False
accel_x_quality,interaction,6,26998,120,0.0031,0.15,0.8828,False,-0.0055,0.4833,-0.0105,False,False,False,False
accel_x_momentum,interaction,6,10731,116,0.0026,0.12,0.9009,False,0.0004,0.4741,-0.0046,False,False,False,False
surprise_sector_neutral,earnings,6,27279,120,0.0514,2.96,0.0031,True,0.0108,0.6417,0.0058,True,True,False,True
sue_sector_neutral,earnings,6,26392,120,0.0422,2.65,0.008,True,0.0036,0.625,-0.0014,True,True,False,False
