scenario,quantiles,mean_long_short_spread,spread_t,spread_hit_rate,n_months
earnings_surprise,5,0.0095,2.39,0.6583,120
sue_standardized,5,0.0026,0.58,0.575,120
surprise_magnitude,5,0.0066,1.71,0.6083,120
positive_surprise_asymmetry,5,0.0051,1.24,0.5917,120
earnings_momentum,5,-0.0012,-0.23,0.4583,120
earnings_acceleration,5,0.0036,0.98,0.5167,120
beat_streak,5,-0.0038,-0.77,0.4667,120
surprise_fade,5,-0.009,-2.23,0.6583,120
revenue_growth,5,0.0049,0.9,0.5333,120
earnings_growth,5,0.0052,1.24,0.575,120
gross_margin,5,-0.0031,-0.76,0.5333,120
operating_margin,5,-0.0083,-1.58,0.5083,120
fcf_margin,5,-0.0004,-0.09,0.475,120
roa_quality,5,-0.0066,-1.34,0.475,120
low_leverage,5,-0.0056,-1.32,0.5,120
quality_composite,5,-0.0009,-0.19,0.5,120
balance_sheet_strength,5,0.0016,0.31,0.6083,120
quality_improvement,5,0.0089,2.37,0.625,120
earnings_yield_value,5,-0.0061,-0.92,0.5417,120
price_momentum_21,5,0.0081,1.62,0.4958,119
price_momentum_63,5,0.0008,0.15,0.4914,116
low_volatility,5,-0.0198,-3.01,0.6134,119
low_beta,5,-0.0115,-1.74,0.5546,119
liquidity,5,,,,0
sector_leadership,5,0.0062,1.43,0.5042,119
surprise_high_rates,5,0.0067,0.93,0.6444,45
surprise_easy_curve,5,0.0076,1.52,0.625,96
surprise_drawdown,5,0.0153,2.49,0.7,20
surprise_high_oil,5,0.0127,3.3,0.6579,76
sue_easy_curve,5,0.0014,0.25,0.5625,96
surprise_x_quality,5,0.0103,2.61,0.65,120
surprise_x_qualimp,5,0.0099,2.5,0.65,120
surprise_x_margin_exp,5,0.0044,0.83,0.5333,120
surprise_x_valuation,5,0.003,0.78,0.5667,120
surprise_x_momentum,5,0.0095,1.89,0.5462,119
surprise_x_lowvol,5,-0.0161,-2.62,0.5546,119
sue_x_quality,5,-0.0077,-1.55,0.4917,120
sue_x_momentum,5,0.007,1.58,0.5042,119
beats_x_momentum,5,0.0036,0.94,0.5378,119
accel_x_quality,5,-0.0055,-1.11,0.4833,120
accel_x_momentum,5,0.0004,0.08,0.4741,116
surprise_sector_neutral,5,0.0108,2.92,0.6417,120
sue_sector_neutral,5,0.0036,0.98,0.625,120
