scenario,avg_top_quintile_turnover,interpretation
earnings_surprise,0.9907,fraction of top-quintile names replaced month-over-month
sue_standardized,0.9908,fraction of top-quintile names replaced month-over-month
surprise_magnitude,0.9923,fraction of top-quintile names replaced month-over-month
positive_surprise_asymmetry,0.9907,fraction of top-quintile names replaced month-over-month
earnings_momentum,0.9887,fraction of top-quintile names replaced month-over-month
earnings_acceleration,0.9893,fraction of top-quintile names replaced month-over-month
beat_streak,0.9901,fraction of top-quintile names replaced month-over-month
surprise_fade,0.9902,fraction of top-quintile names replaced month-over-month
revenue_growth,0.9933,fraction of top-quintile names replaced month-over-month
earnings_growth,0.9926,fraction of top-quintile names replaced month-over-month
gross_margin,0.9879,fraction of top-quintile names replaced month-over-month
operating_margin,0.9905,fraction of top-quintile names replaced month-over-month
fcf_margin,0.9912,fraction of top-quintile names replaced month-over-month
roa_quality,0.9927,fraction of top-quintile names replaced month-over-month
low_leverage,0.9925,fraction of top-quintile names replaced month-over-month
quality_composite,0.9916,fraction of top-quintile names replaced month-over-month
balance_sheet_strength,0.9889,fraction of top-quintile names replaced month-over-month
quality_improvement,0.9897,fraction of top-quintile names replaced month-over-month
earnings_yield_value,0.9886,fraction of top-quintile names replaced month-over-month
price_momentum_21,0.9989,fraction of top-quintile names replaced month-over-month
price_momentum_63,0.9994,fraction of top-quintile names replaced month-over-month
low_volatility,0.996,fraction of top-quintile names replaced month-over-month
low_beta,0.9949,fraction of top-quintile names replaced month-over-month
liquidity,,fraction of top-quintile names replaced month-over-month
sector_leadership,0.9993,fraction of top-quintile names replaced month-over-month
surprise_high_rates,0.9992,fraction of top-quintile names replaced month-over-month
surprise_easy_curve,0.9883,fraction of top-quintile names replaced month-over-month
surprise_drawdown,0.9868,fraction of top-quintile names replaced month-over-month
surprise_high_oil,0.974,fraction of top-quintile names replaced month-over-month
sue_easy_curve,0.9885,fraction of top-quintile names replaced month-over-month
surprise_x_quality,0.9907,fraction of top-quintile names replaced month-over-month
surprise_x_qualimp,0.9907,fraction of top-quintile names replaced month-over-month
surprise_x_margin_exp,0.991,fraction of top-quintile names replaced month-over-month
surprise_x_valuation,0.9901,fraction of top-quintile names replaced month-over-month
surprise_x_momentum,0.9996,fraction of top-quintile names replaced month-over-month
surprise_x_lowvol,0.9994,fraction of top-quintile names replaced month-over-month
sue_x_quality,0.9902,fraction of top-quintile names replaced month-over-month
sue_x_momentum,0.9988,fraction of top-quintile names replaced month-over-month
beats_x_momentum,0.9988,fraction of top-quintile names replaced month-over-month
accel_x_quality,0.9903,fraction of top-quintile names replaced month-over-month
accel_x_momentum,0.9994,fraction of top-quintile names replaced month-over-month
surprise_sector_neutral,0.9907,fraction of top-quintile names replaced month-over-month
sue_sector_neutral,0.9969,fraction of top-quintile names replaced month-over-month
