scenario,family,mean_ic_before,mean_ic_after,ic_t_before,ic_t_after,spread_before,spread_after,net25_before,net25_after,promoted_before,promoted_after
accel_x_momentum,interaction,0.0026,0.0026,0.12,0.12,0.0004,0.0004,-0.0046,-0.0046,False,False
accel_x_quality,interaction,0.0031,0.0031,0.15,0.15,-0.0055,-0.0055,-0.0105,-0.0105,False,False
balance_sheet_strength,fundamentals,0.0158,0.0158,0.84,0.84,0.0016,0.0016,-0.0034,-0.0034,False,False
beat_streak,earnings,0.0289,0.0289,1.78,1.78,-0.0038,-0.0038,-0.0087,-0.0087,False,False
beats_x_momentum,interaction,0.0256,0.0256,1.59,1.59,0.0036,0.0036,-0.0013,-0.0013,False,False
earnings_acceleration,earnings,0.0371,0.0371,2.57,2.57,0.0036,0.0036,-0.0013,-0.0013,False,False
earnings_growth,fundamentals,0.0113,0.0113,0.68,0.68,0.0052,0.0052,0.0003,0.0003,False,False
earnings_momentum,earnings,-0.002,-0.002,-0.1,-0.1,-0.0012,-0.0012,-0.0062,-0.0062,False,False
earnings_surprise,earnings,0.0442,0.0442,2.85,2.85,0.0095,0.0095,0.0046,0.0046,False,False
earnings_yield_value,valuation,0.0,0.0,0.0,0.0,-0.0061,-0.0061,-0.0111,-0.0111,False,False
fcf_margin,fundamentals,0.0154,0.0154,0.99,0.99,-0.0004,-0.0004,-0.0054,-0.0054,False,False
gross_margin,fundamentals,0.0097,0.0097,0.63,0.63,-0.0031,-0.0031,-0.0081,-0.0081,False,False
liquidity,price,,,,,,,,,False,False
low_beta,price,-0.0212,-0.0212,-0.78,-0.78,-0.0115,-0.0115,-0.0165,-0.0165,False,False
low_leverage,fundamentals,-0.0117,-0.0117,-0.69,-0.69,-0.0056,-0.0056,-0.0105,-0.0105,False,False
low_volatility,price,-0.0294,-0.0294,-1.21,-1.21,-0.0198,-0.0198,-0.0248,-0.0248,False,False
operating_margin,fundamentals,-0.0011,-0.0011,-0.06,-0.06,-0.0083,-0.0083,-0.0132,-0.0132,False,False
positive_surprise_asymmetry,earnings,0.0488,0.0488,3.08,3.08,0.0051,0.0051,0.0002,0.0002,True,True
price_momentum_21,price,0.0202,0.0202,1.14,1.14,0.0081,0.0081,0.0031,0.0031,False,False
price_momentum_63,price,0.0086,0.0086,0.4,0.4,0.0008,0.0008,-0.0042,-0.0042,False,False
quality_composite,fundamentals,0.0163,0.0163,1.0,1.0,-0.0009,-0.0009,-0.0059,-0.0059,False,False
quality_improvement,fundamentals,0.0286,0.0286,1.84,1.84,0.0089,0.0089,0.004,0.004,False,False
revenue_growth,fundamentals,0.0135,0.0135,0.71,0.71,0.0049,0.0049,-0.0,-0.0,False,False
roa_quality,fundamentals,0.003,0.003,0.18,0.18,-0.0066,-0.0066,-0.0115,-0.0115,False,False
sector_leadership,price,0.0113,0.0113,0.71,0.71,0.0062,0.0062,0.0012,0.0012,False,False
sue_easy_curve,regime,0.0219,0.0219,1.06,1.06,0.0014,0.0014,-0.0035,-0.0035,False,False
sue_sector_neutral,earnings,0.0422,0.0422,2.65,2.65,0.0036,0.0036,-0.0014,-0.0014,False,False
sue_standardized,earnings,0.0366,0.0366,2.19,2.19,0.0026,0.0026,-0.0023,-0.0023,False,False
sue_x_momentum,interaction,0.0179,0.0179,1.02,1.02,0.007,0.007,0.002,0.002,False,False
sue_x_quality,interaction,-0.0002,-0.0002,-0.01,-0.01,-0.0077,-0.0077,-0.0127,-0.0127,False,False
surprise_drawdown,regime,0.0623,0.0623,1.86,1.86,0.0153,0.0153,0.0104,0.0104,False,False
surprise_easy_curve,regime,0.0327,0.0327,1.76,1.76,0.0076,0.0076,0.0026,0.0026,False,False
surprise_fade,earnings,-0.0442,-0.0442,-2.85,-2.85,-0.009,-0.009,-0.0139,-0.0139,False,False
surprise_high_oil,regime,0.0516,0.0516,2.97,2.97,0.0127,0.0127,0.0078,0.0078,False,False
surprise_high_rates,regime,0.0381,0.0381,1.46,1.46,0.0067,0.0067,0.0017,0.0017,False,False
surprise_magnitude,earnings,0.0411,0.0411,2.68,2.68,0.0066,0.0066,0.0016,0.0016,True,True
surprise_sector_neutral,earnings,0.0514,0.0514,2.96,2.96,0.0108,0.0108,0.0058,0.0058,True,True
surprise_x_lowvol,interaction,-0.0238,-0.0238,-1.01,-1.01,-0.0161,-0.0161,-0.0211,-0.0211,False,False
surprise_x_margin_exp,interaction,0.0178,0.0178,0.94,0.94,0.0044,0.0044,-0.0005,-0.0005,False,False
surprise_x_momentum,interaction,0.0235,0.0235,1.27,1.27,0.0095,0.0095,0.0045,0.0045,False,False
surprise_x_qualimp,interaction,0.0426,0.0426,2.75,2.75,0.0099,0.0099,0.005,0.005,False,False
surprise_x_quality,interaction,0.047,0.047,2.97,2.97,0.0103,0.0103,0.0054,0.0054,True,True
surprise_x_valuation,interaction,0.0177,0.0177,1.06,1.06,0.003,0.003,-0.0019,-0.0019,False,False
