scenario,ic_before,ic_after,ic_delta,t_before,t_after,t_delta,subperiod_stable_before,subperiod_stable_after,promotion_status
accel_x_momentum,0.0026,0.0026,0.0,0.12,0.12,0.0,False,False,unchanged
accel_x_quality,0.0031,0.0031,0.0,0.15,0.15,0.0,False,False,unchanged
balance_sheet_strength,0.0158,0.0158,0.0,0.84,0.84,0.0,True,True,unchanged
beat_streak,0.0289,0.0289,0.0,1.78,1.78,0.0,True,True,unchanged
beats_x_momentum,0.0256,0.0256,0.0,1.59,1.59,0.0,True,True,unchanged
earnings_acceleration,0.0371,0.0371,0.0,2.57,2.57,0.0,True,True,unchanged
earnings_growth,0.0113,0.0113,0.0,0.68,0.68,0.0,False,False,unchanged
earnings_momentum,-0.002,-0.002,0.0,-0.1,-0.1,0.0,False,False,unchanged
earnings_surprise,0.0442,0.0442,0.0,2.85,2.85,0.0,True,True,unchanged
earnings_yield_value,0.0,0.0,0.0,0.0,0.0,0.0,False,False,unchanged
fcf_margin,0.0154,0.0154,0.0,0.99,0.99,0.0,True,True,unchanged
gross_margin,0.0097,0.0097,0.0,0.63,0.63,0.0,True,True,unchanged
liquidity,,,,,,,False,False,unchanged
low_beta,-0.0212,-0.0212,0.0,-0.78,-0.78,0.0,False,False,unchanged
low_leverage,-0.0117,-0.0117,0.0,-0.69,-0.69,0.0,False,False,unchanged
low_volatility,-0.0294,-0.0294,0.0,-1.21,-1.21,0.0,False,False,unchanged
operating_margin,-0.0011,-0.0011,0.0,-0.06,-0.06,0.0,False,False,unchanged
positive_surprise_asymmetry,0.0488,0.0488,0.0,3.08,3.08,0.0,True,True,unchanged
price_momentum_21,0.0202,0.0202,0.0,1.14,1.14,0.0,True,True,unchanged
price_momentum_63,0.0086,0.0086,0.0,0.4,0.4,0.0,False,False,unchanged
quality_composite,0.0163,0.0163,0.0,1.0,1.0,0.0,True,True,unchanged
quality_improvement,0.0286,0.0286,0.0,1.84,1.84,0.0,True,True,unchanged
revenue_growth,0.0135,0.0135,0.0,0.71,0.71,0.0,True,True,unchanged
roa_quality,0.003,0.003,0.0,0.18,0.18,0.0,False,False,unchanged
sector_leadership,0.0113,0.0113,0.0,0.71,0.71,0.0,False,False,unchanged
sue_easy_curve,0.0219,0.0219,0.0,1.06,1.06,0.0,False,False,unchanged
sue_sector_neutral,0.0422,0.0422,0.0,2.65,2.65,0.0,True,True,unchanged
sue_standardized,0.0366,0.0366,0.0,2.19,2.19,0.0,True,True,unchanged
sue_x_momentum,0.0179,0.0179,0.0,1.02,1.02,0.0,True,True,unchanged
sue_x_quality,-0.0002,-0.0002,0.0,-0.01,-0.01,0.0,False,False,unchanged
surprise_drawdown,0.0623,0.0623,0.0,1.86,1.86,0.0,True,True,unchanged
surprise_easy_curve,0.0327,0.0327,0.0,1.76,1.76,0.0,True,True,unchanged
surprise_fade,-0.0442,-0.0442,0.0,-2.85,-2.85,0.0,False,False,unchanged
surprise_high_oil,0.0516,0.0516,0.0,2.97,2.97,0.0,True,True,unchanged
surprise_high_rates,0.0381,0.0381,0.0,1.46,1.46,0.0,False,False,unchanged
surprise_magnitude,0.0411,0.0411,0.0,2.68,2.68,0.0,True,True,unchanged
surprise_sector_neutral,0.0514,0.0514,0.0,2.96,2.96,0.0,True,True,unchanged
surprise_x_lowvol,-0.0238,-0.0238,0.0,-1.01,-1.01,0.0,False,False,unchanged
surprise_x_margin_exp,0.0178,0.0178,0.0,0.94,0.94,0.0,True,True,unchanged
surprise_x_momentum,0.0235,0.0235,0.0,1.27,1.27,0.0,True,True,unchanged
surprise_x_qualimp,0.0426,0.0426,0.0,2.75,2.75,0.0,True,True,unchanged
surprise_x_quality,0.047,0.047,0.0,2.97,2.97,0.0,True,True,unchanged
surprise_x_valuation,0.0177,0.0177,0.0,1.06,1.06,0.0,True,True,unchanged
