scenario,family,mean_ic_before,mean_ic_after,ic_t_before,ic_t_after,spread_before,spread_after,net25_before,net25_after,net50_before,net50_after,promoted_before,promoted_after
accel_x_momentum,interaction,0.0026,0.0014,0.12,0.08,0.0004,-0.0017,-0.0046,-0.0067,-0.0096,-0.0117,False,False
accel_x_quality,interaction,0.003,0.0026,0.15,0.15,-0.0055,-0.0048,-0.0105,-0.0097,-0.0154,-0.0147,False,False
balance_sheet_strength,fundamentals,0.0158,0.0289,0.84,1.97,0.0016,0.009,-0.0034,0.0041,-0.0083,-0.0009,False,False
beat_streak,earnings,0.0289,0.0054,1.78,0.42,-0.0038,-0.0017,-0.0087,-0.0066,-0.0137,-0.0116,False,False
beats_x_momentum,interaction,0.0256,0.0045,1.59,0.33,0.0036,-0.0013,-0.0013,-0.0063,-0.0063,-0.0113,False,False
earnings_acceleration,earnings,0.0371,0.0255,2.57,2.24,0.0036,0.0053,-0.0013,0.0003,-0.0063,-0.0046,False,False
earnings_growth,fundamentals,0.0111,0.004,0.67,0.3,0.0052,0.0018,0.0003,-0.0032,-0.0047,-0.0081,False,False
earnings_momentum,earnings,-0.002,0.0115,-0.1,0.74,-0.0012,0.0011,-0.0062,-0.0039,-0.0111,-0.0088,False,False
earnings_surprise,earnings,0.0442,0.0234,2.85,1.68,0.0095,0.003,0.0046,-0.002,-0.0004,-0.007,False,False
earnings_yield_value,valuation,0.0,0.0078,0.0,0.46,-0.0061,-0.0024,-0.0111,-0.0073,-0.016,-0.0123,False,False
fcf_margin,fundamentals,0.0153,0.0202,0.98,1.84,-0.0005,0.0035,-0.0054,-0.0015,-0.0104,-0.0065,False,False
gross_margin,fundamentals,0.0097,0.0016,0.63,0.13,-0.0031,-0.0032,-0.0081,-0.0082,-0.013,-0.0131,False,False
liquidity,price,,,,,,,,,,,False,False
low_beta,price,-0.0212,-0.0147,-0.78,-0.61,-0.0115,-0.0077,-0.0165,-0.0127,-0.0214,-0.0177,False,False
low_leverage,fundamentals,-0.0117,0.0036,-0.69,0.26,-0.0056,-0.0011,-0.0105,-0.0061,-0.0155,-0.011,False,False
low_volatility,price,-0.0294,-0.0137,-1.21,-0.64,-0.0198,-0.0138,-0.0248,-0.0188,-0.0297,-0.0238,False,False
operating_margin,fundamentals,-0.001,0.0014,-0.06,0.1,-0.0082,-0.0025,-0.0132,-0.0075,-0.0181,-0.0125,False,False
positive_surprise_asymmetry,earnings,0.0488,0.0246,3.08,1.82,0.0051,0.0029,0.0002,-0.0021,-0.0048,-0.0071,True,False
price_momentum_21,price,0.0202,0.0089,1.14,0.61,0.0081,0.0074,0.0031,0.0024,-0.0019,-0.0026,False,False
price_momentum_63,price,0.0086,0.0032,0.4,0.18,0.0008,-0.0012,-0.0042,-0.0062,-0.0092,-0.0112,False,False
quality_composite,fundamentals,0.0162,0.022,0.99,1.97,-0.0009,0.0038,-0.0059,-0.0012,-0.0109,-0.0062,False,False
quality_improvement,fundamentals,0.0286,0.0089,1.84,0.66,0.0088,0.004,0.0038,-0.001,-0.0011,-0.0059,False,False
revenue_growth,fundamentals,0.0133,0.0073,0.7,0.43,0.005,0.0017,0.0,-0.0033,-0.005,-0.0082,False,False
roa_quality,fundamentals,0.003,0.0111,0.18,0.72,-0.0066,-0.004,-0.0115,-0.009,-0.0165,-0.014,False,False
sector_leadership,price,0.0113,0.006,0.71,0.44,0.0062,0.0052,0.0012,0.0002,-0.0037,-0.0048,False,False
sue_easy_curve,regime,0.0219,0.025,1.06,1.5,0.0014,0.0006,-0.0035,-0.0044,-0.0085,-0.0094,False,False
sue_sector_neutral,earnings,0.0422,0.0249,2.65,1.84,0.0036,0.0006,-0.0014,-0.0044,-0.0063,-0.0094,False,False
sue_standardized,earnings,0.0366,0.0242,2.19,1.73,0.0026,0.0019,-0.0023,-0.0031,-0.0073,-0.008,False,False
sue_x_momentum,interaction,0.0179,0.006,1.02,0.39,0.007,0.0059,0.002,0.0009,-0.0029,-0.0041,False,False
sue_x_quality,interaction,-0.0003,-0.0016,-0.01,-0.1,-0.0077,-0.0062,-0.0127,-0.0111,-0.0176,-0.0161,False,False
surprise_drawdown,regime,0.0623,0.0255,1.86,0.85,0.0153,0.0065,0.0104,0.0016,0.0054,-0.0034,False,False
surprise_easy_curve,regime,0.0327,0.0259,1.76,1.58,0.0076,0.0026,0.0026,-0.0023,-0.0023,-0.0073,False,False
surprise_fade,earnings,-0.0442,-0.0234,-2.85,-1.68,-0.009,-0.0029,-0.0139,-0.0079,-0.0189,-0.0129,False,False
surprise_high_oil,regime,0.0516,0.0232,2.97,1.29,0.0127,0.0039,0.0078,-0.0011,0.0029,-0.006,False,False
surprise_high_rates,regime,0.0381,0.0079,1.46,0.42,0.0067,-0.0035,0.0017,-0.0085,-0.0033,-0.0135,False,False
surprise_magnitude,earnings,0.0411,0.0181,2.68,1.34,0.0066,0.0032,0.0016,-0.0018,-0.0033,-0.0068,True,False
surprise_sector_neutral,earnings,0.0514,0.0202,2.96,1.43,0.0108,0.0025,0.0058,-0.0025,0.0009,-0.0075,True,False
surprise_x_lowvol,interaction,-0.0238,-0.0137,-1.01,-0.65,-0.0161,-0.0117,-0.0211,-0.0167,-0.0261,-0.0217,False,False
surprise_x_margin_exp,interaction,0.0178,0.0105,0.94,0.72,0.0044,0.0026,-0.0005,-0.0024,-0.0055,-0.0074,False,False
surprise_x_momentum,interaction,0.0235,0.0126,1.27,0.86,0.0095,0.0076,0.0045,0.0026,-0.0005,-0.0024,False,False
surprise_x_qualimp,interaction,0.0426,0.0233,2.75,1.67,0.0099,0.0029,0.005,-0.0021,0.0,-0.007,False,False
surprise_x_quality,interaction,0.047,0.0249,2.97,1.78,0.0103,0.0029,0.0054,-0.002,0.0004,-0.007,True,False
surprise_x_valuation,interaction,0.0177,0.0092,1.06,0.66,0.003,0.0023,-0.0019,-0.0026,-0.0069,-0.0076,False,False
