ticker,price_status,fund_status,price_rows,earnings_rows,requests_cumulative,scoreable_now,checkpoint
AOS,OK,OK,2635,122,2,True,
AES,OK,OK,2635,123,4,True,
A,OK,OK,2635,107,6,True,
AKAM,OK,OK,2635,107,8,True,
ALB,OK,OK,2635,122,10,True,
ARE,OK,OK,2635,114,12,True,
ALGN,OK,OK,2635,102,14,True,
ALLE,OK,OK,2635,52,16,True,
LNT,OK,OK,2635,122,18,True,
ALL,OK,OK,2635,124,20,True,
GOOG,OK,OK,2635,64,22,True,
AMCR,OK,OK,2635,35,24,True,
AEE,OK,OK,2635,122,26,True,
AIG,OK,OK,2635,133,28,True,
AWK,OK,OK,2635,74,30,True,
AMP,OK,OK,2635,84,32,True,
AME,OK,OK,2635,116,34,True,
APA,OK,OK,2635,122,36,True,
APTV,OK,OK,2635,60,38,True,
ACGL,OK,OK,2635,121,40,True,
ADM,OK,OK,2635,122,42,True,
ARES,OK,OK,2635,49,44,True,
AJG,OK,OK,2635,122,46,True,
AIZ,OK,OK,2635,91,48,True,
ATO,OK,OK,2635,122,50,True,
ADSK,OK,OK,2635,125,52,True,
AZO,OK,OK,2635,103,54,True,
AVB,OK,OK,2635,114,56,True,
AVY,OK,OK,2635,131,58,True,
AXON,OK,OK,2635,100,60,True,
BALL,OK,OK,2635,117,62,True,
BAX,OK,OK,2635,122,64,True,
BDX,OK,OK,2635,125,66,True,
BRK.B,ERROR,ERROR,0,0,68,False,
BBY,OK,OK,2635,117,70,True,
TECH,OK,OK,2635,126,72,True,
BIIB,OK,OK,2635,124,74,True,
XYZ,OK,OK,2635,44,76,True,
BR,OK,OK,2635,78,78,True,
BRO,OK,OK,2635,126,80,True,
BF.B,ERROR,ERROR,0,0,82,False,
BLDR,OK,OK,2635,85,84,True,
BG,OK,OK,2635,100,86,True,
BXP,OK,OK,2635,114,88,True,
CHRW,OK,OK,2635,115,90,True,
CPT,OK,OK,2635,114,92,True,
CAH,OK,OK,2635,121,94,True,
CCL,OK,OK,2635,125,96,True,
CARR,OK,OK,1576,27,98,True,
CASY,OK,OK,2635,124,100,True,
CBOE,OK,OK,2635,65,102,True,
CBRE,OK,OK,2635,106,104,True,checkpoint
CDW,OK,OK,2635,53,106,True,
COR,OK,OK,2635,115,108,True,
CNC,OK,OK,2635,99,110,True,
CNP,OK,OK,2635,122,112,True,
CF,OK,OK,2635,85,114,True,
CRL,OK,OK,2635,105,116,True,
CHTR,OK,OK,2635,67,118,True,
CMG,OK,OK,2635,83,120,True,
CHD,OK,OK,2635,124,122,True,
CINF,OK,OK,2635,122,124,True,
CFG,OK,OK,2635,50,126,True,
CLX,OK,OK,2635,123,128,True,
CMS,OK,OK,2635,122,130,True,
CTSH,OK,OK,2635,113,132,True,
COIN,OK,OK,1307,31,134,True,
CAG,OK,OK,2635,124,136,True,
ED,OK,OK,2635,122,138,True,
STZ,OK,OK,2635,122,140,True,
COO,OK,OK,2635,117,142,True,
CPRT,OK,OK,2635,122,144,True,
CPAY,OK,OK,2635,63,146,True,
CTVA,OK,OK,1782,32,148,True,
CSGP,OK,OK,2635,112,150,True,
CCI,OK,OK,2635,112,152,True,
DRI,OK,OK,2635,124,154,True,
DVA,OK,OK,2635,122,156,True,
DECK,OK,OK,2635,131,158,True,
DAL,OK,OK,2635,125,160,True,
DVN,OK,OK,2635,122,162,True,
DXCM,OK,OK,2635,86,164,True,
FANG,OK,OK,2635,56,166,True,
DG,OK,OK,2635,121,168,True,
DLTR,OK,OK,2635,114,170,True,
DPZ,OK,OK,2635,89,172,True,
DOV,OK,OK,2635,135,174,True,
DOW,OK,OK,1828,50,176,True,
DHI,OK,OK,2635,122,178,True,
DTE,OK,OK,2635,122,180,True,
DD,OK,OK,2635,114,182,True,
EBAY,OK,OK,2635,112,184,True,
SATS,OK,OK,2634,75,186,True,
EIX,OK,OK,2635,123,188,True,
EW,OK,OK,2635,106,190,True,
EA,OK,OK,2635,122,192,True,
EME,OK,OK,2635,118,194,True,
ETR,OK,OK,2635,124,196,True,
EQT,OK,OK,2635,122,198,True,
EFX,OK,OK,2635,122,200,True,
EQR,OK,OK,2635,114,202,True,
ERIE,OK,OK,2635,117,204,True,checkpoint
ESS,OK,OK,2635,114,206,True,
EL,OK,OK,2635,123,208,True,
EG,OK,OK,2635,122,210,True,
EVRG,OK,OK,2635,133,212,True,
ES,OK,OK,2635,124,214,True,
EXC,OK,OK,2635,122,216,True,
EXE,OK,OK,1350,27,218,True,
EXPE,OK,OK,2635,100,220,True,
EXPD,OK,OK,2635,122,222,True,
EXR,OK,OK,2635,89,224,True,
FFIV,OK,OK,2635,109,226,True,
FDS,OK,OK,2635,119,228,True,
FICO,OK,OK,2635,127,230,True,
FAST,OK,OK,2635,122,232,True,
FRT,OK,OK,2635,115,234,True,
FDXF,OK,OK,23,1,236,True,
FIS,OK,OK,2635,101,238,True,
FITB,OK,OK,2635,126,240,True,
FSLR,OK,OK,2635,79,242,True,
FE,OK,OK,2635,122,244,True,
FISV,OK,OK,2635,114,246,True,
FLEX,OK,OK,2635,123,248,True,
FTV,OK,OK,2521,42,250,True,
FOXA,OK,OK,1834,32,252,True,
FOX,OK,OK,1833,39,254,True,
BEN,OK,OK,2635,122,256,True,
GRMN,OK,OK,2635,103,258,True,
IT,OK,OK,2635,122,260,True,
GEHC,OK,OK,884,17,262,True,
GEN,OK,OK,2635,113,264,True,
GNRC,OK,OK,2635,67,266,True,
GIS,OK,OK,2635,121,268,True,
GPC,OK,OK,2635,124,270,True,
GPN,OK,OK,2635,94,272,True,
GL,OK,OK,2635,122,274,True,
GDDY,OK,OK,2635,46,276,True,
HAL,OK,OK,2635,122,278,True,
HIG,OK,OK,2635,122,280,True,
HAS,OK,OK,2635,124,282,True,
DOC,OK,OK,2635,114,284,True,
HSIC,OK,OK,2635,122,286,True,
HSY,OK,OK,2635,122,288,True,
HRL,OK,OK,2635,124,290,True,
HST,OK,OK,2635,121,292,True,
HPQ,OK,OK,2635,131,294,True,
HUBB,OK,OK,2635,124,296,True,
HUM,OK,OK,2635,122,298,True,
HBAN,OK,OK,2635,128,300,True,
HII,OK,OK,2635,62,302,True,
IEX,OK,OK,2635,122,304,True,checkpoint
IDXX,OK,OK,2635,122,306,True,
INCY,OK,OK,2635,124,308,True,
IR,OK,OK,2293,114,310,True,
PODD,OK,OK,2635,78,312,True,
IFF,OK,OK,2635,124,314,True,
IP,OK,OK,2635,143,316,True,
IVZ,OK,OK,2635,102,318,True,
INVH,OK,OK,2363,40,320,True,
IQV,OK,OK,2635,54,322,True,
IQVIA,ERROR,ERROR,0,0,324,False,
IRM,OK,OK,2635,122,326,True,
JBHT,OK,OK,2635,122,328,True,
JBL,OK,OK,2635,125,330,True,
JKHY,OK,OK,2635,122,332,True,
J,OK,OK,2635,123,334,True,
KVUE,OK,OK,789,16,336,True,
KDP,OK,OK,2635,74,338,True,
KEY,OK,OK,2635,124,340,True,
KMB,OK,OK,2635,122,342,True,
KIM,OK,OK,2635,116,344,True,
KHC,OK,OK,2635,56,346,True,
KR,OK,OK,2635,113,348,True,
LHX,OK,OK,2635,123,350,True,
LH,OK,OK,2635,124,352,True,
LVS,OK,OK,2635,87,354,True,
LDOS,OK,OK,2635,79,356,True,
LEN,OK,OK,2635,123,358,True,
LII,OK,OK,2635,108,360,True,
LYV,OK,OK,2635,83,362,True,
L,OK,OK,2635,123,364,True,
LULU,OK,OK,2635,76,366,True,
LYB,OK,OK,2635,64,368,True,
MTB,OK,OK,2635,124,370,True,
MLM,OK,OK,2635,122,372,True,
MAS,OK,OK,2635,122,374,True,
MKC,OK,OK,2635,123,376,True,
MET,OK,OK,2635,105,378,True,
MTD,OK,OK,2635,115,380,True,
MGM,OK,OK,2635,122,382,True,
MCHP,OK,OK,2635,122,384,True,
MAA,OK,OK,2635,114,386,True,
MRNA,OK,OK,1897,33,388,True,
TAP,OK,OK,2635,122,390,True,
MOS,OK,OK,2635,111,392,True,
MSCI,OK,OK,2635,75,394,True,
NDAQ,OK,OK,2635,96,396,True,
NTAP,OK,OK,2635,123,398,True,
NWSA,OK,OK,2635,53,400,True,
NWS,OK,OK,2635,53,402,True,
NI,OK,OK,2635,122,404,True,
NDSN,OK,OK,2635,133,406,True,checkpoint
NTRS,OK,OK,2635,121,408,True,
NCLH,OK,OK,2635,55,410,True,
NRG,OK,OK,2635,91,412,True,
NVR,OK,OK,2635,124,414,True,
OXY,OK,OK,2635,124,416,True,
ODFL,OK,OK,2635,123,418,True,
OMC,OK,OK,2635,122,420,True,
ON,OK,OK,2635,105,422,True,
OKE,OK,OK,2635,126,424,True,
OTIS,OK,OK,1576,27,426,True,
PKG,OK,OK,2635,106,428,True,
PSKY,OK,OK,2635,114,430,True,
PAYX,OK,OK,2635,122,432,True,
PYPL,OK,OK,2635,46,434,True,
PNR,OK,OK,2635,124,436,True,
PCG,OK,OK,2635,122,438,True,
PNW,OK,OK,2635,123,440,True,
PPG,OK,OK,2635,122,442,True,
PPL,OK,OK,2635,122,444,True,
PFG,OK,OK,2635,100,446,True,
PRU,OK,OK,2635,99,448,True,
PEG,OK,OK,2635,124,450,True,
PTC,OK,OK,2635,122,452,True,
PSA,OK,OK,2635,114,454,True,
PHM,OK,OK,2635,122,456,True,
DGX,OK,OK,2635,119,458,True,
Q,OK,OK,168,5,460,True,
RL,OK,OK,2635,117,462,True,
RJF,OK,OK,2635,133,464,True,
REG,OK,OK,2635,114,466,True,
RF,OK,OK,2635,123,468,True,
RMD,OK,OK,2635,120,470,True,
RVTY,OK,OK,2635,114,472,True,
ROK,OK,OK,2635,122,474,True,
ROL,OK,OK,2635,135,476,True,
ROP,OK,OK,2635,127,478,True,
SBAC,OK,OK,2635,109,480,True,
SWKS,OK,OK,2635,122,482,True,
SJM,OK,OK,2635,124,484,True,
SW,OK,OK,2636,62,486,True,
SNA,OK,OK,2635,122,488,True,
SOLV,OK,OK,565,11,490,True,
LUV,OK,OK,2635,123,492,True,
SWK,OK,OK,2635,122,494,True,
STT,OK,OK,2635,126,496,True,
STLD,OK,OK,2635,119,498,True,
STE,OK,OK,2635,123,500,True,
