ticker,has_price,has_earnings,has_fundamentals,scoreable_ready
AAPL,True,True,True,True
ABBV,True,True,True,True
ABNB,True,True,True,True
ABT,True,True,True,True
ACN,True,True,True,True
ADBE,True,True,True,True
ADI,True,True,True,True
ADP,True,True,True,True
AEM,True,True,True,True
AEP,True,True,True,True
AFL,True,True,True,True
ALAB,True,True,True,True
AMAT,True,True,True,True
AMD,True,True,True,True
AMGN,True,True,True,True
AMT,True,True,True,True
AMX,True,True,True,True
AMZN,True,True,True,True
ANET,True,True,True,True
AON,True,True,True,True
APD,True,True,True,True
APH,True,True,True,True
APO,True,True,True,True
APP,True,True,True,True
ARM,True,True,True,True
ASML,True,True,True,True
ASX,True,True,True,True
ATEYY,True,True,True,True
AVGO,True,True,True,True
AXP,True,True,True,True
AZN,True,True,True,True
B,True,True,True,True
BA,True,True,True,True
BABA,True,True,True,True
BAC,True,True,True,True
BAESY,True,True,True,True
BAM,True,True,True,True
BBVA,True,True,True,True
BCS,True,True,True,True
BE,True,True,True,True
BHP,True,True,True,True
BKNG,True,True,True,True
BKR,True,True,True,True
BLK,True,True,True,True
BMO,True,True,True,True
BMY,True,True,True,True
BN,True,True,True,True
BNS,True,True,True,True
BNY,True,True,True,True
BP,True,True,True,True
BSX,True,True,True,True
BTI,True,True,True,True
BUD,True,True,True,True
BX,True,True,True,True
C,True,True,True,True
CAT,True,True,True,True
CB,True,True,True,True
CDNS,True,True,True,True
CEG,True,True,True,True
CI,True,True,True,True
CIEN,True,True,True,True
CL,True,True,True,True
CM,True,True,True,True
CMCSA,True,True,True,True
CME,True,True,True,True
CMI,True,True,True,True
CNI,True,True,True,True
CNQ,True,True,True,True
COF,True,True,True,True
COHR,True,True,True,True
COP,True,True,True,True
COST,True,True,True,True
CP,True,True,True,True
CRH,True,True,True,True
CRM,True,True,True,True
CRWD,True,True,True,True
CSCO,True,True,True,True
CSX,True,True,True,True
CTAS,True,True,True,True
CVNA,True,True,True,True
CVS,True,True,True,True
CVX,True,True,True,True
CYATY,True,True,True,True
D,True,True,True,True
DASH,True,True,True,True
DB,True,True,True,True
DDOG,True,True,True,True
DE,True,True,True,True
DELL,True,True,True,True
DHR,True,True,True,True
DIS,True,True,True,True
DLR,True,True,True,True
DTEGY,True,True,True,True
DUK,True,True,True,True
E,True,True,True,True
ECL,True,True,True,True
ELV,True,True,True,True
EMR,True,True,True,True
ENB,True,True,True,True
EOG,True,True,True,True
EPD,True,True,True,True
EQIX,True,True,True,True
EQNR,True,True,True,True
ET,True,True,True,True
ETN,True,True,True,True
F,True,True,True,True
FCX,True,True,True,True
FDX,True,True,True,True
FIX,True,True,True,True
FTNT,True,True,True,True
GD,True,True,True,True
GE,True,True,True,True
GEV,True,True,True,True
GILD,True,True,True,True
GLW,True,True,True,True
GM,True,True,True,True
GOOGL,True,True,True,True
GS,True,True,True,True
GSK,True,True,True,True
GWW,True,True,True,True
HCA,True,True,True,True
HD,True,True,True,True
HDB,True,True,True,True
HLT,True,True,True,True
HON,True,True,True,True
HOOD,True,True,True,True
HPE,True,True,True,True
HSBC,True,True,True,True
HTHIY,True,True,True,True
HWM,True,True,True,True
IBKR,True,True,True,True
IBM,True,True,True,True
IBN,True,True,True,True
ICE,True,True,True,True
IFNNY,True,True,True,True
IMO,True,True,True,True
ING,True,True,True,True
INTC,True,True,True,True
INTU,True,True,True,True
ISRG,True,True,True,True
ITUB,True,True,True,True
ITW,True,True,True,True
JCI,True,True,True,True
JNJ,True,True,True,True
JPM,True,True,True,True
KEYS,True,True,True,True
KKR,True,True,True,True
KLAC,True,True,True,True
KMI,True,True,True,True
KO,True,True,True,True
KXIAY,True,True,True,True
LIN,True,True,True,True
LITE,True,True,True,True
LLY,True,True,True,True
LMT,True,True,True,True
LOW,True,True,True,True
LRCX,True,True,True,True
LSEGY,True,True,True,True
LYG,True,True,True,True
MA,True,True,True,True
MAR,True,True,True,True
MCD,True,True,True,True
MCK,True,True,True,True
MCO,True,True,True,True
MDLN,True,True,True,True
MDLZ,True,True,True,True
MDT,True,True,True,True
MELI,True,True,True,True
META,True,True,True,True
MFC,True,True,True,True
MFG,True,True,True,True
MGCLY,True,True,True,True
MMM,True,True,True,True
MNST,True,True,True,True
MO,True,True,True,True
MPC,True,True,True,True
MPWR,True,True,True,True
MRK,True,True,True,True
MRSH,True,True,True,True
MRVL,True,True,True,True
MS,True,True,True,True
MSFT,True,True,True,True
MSI,True,True,True,True
MU,True,True,True,True
MUFG,True,True,True,True
NBIS,True,True,True,True
NEE,True,True,True,True
NEM,True,True,True,True
NET,True,True,True,True
NFLX,True,True,True,True
NGG,True,True,True,True
NKE,True,True,True,True
NOC,True,True,True,True
NOK,True,True,True,True
NOW,True,True,True,True
NSC,True,True,True,True
NTES,True,True,True,True
NU,True,True,True,True
NUE,True,True,True,True
NVDA,True,True,True,True
NVO,True,True,True,True
NVS,True,True,True,True
NWG,True,True,True,True
NXPI,True,True,True,True
O,True,True,True,True
ORCL,True,True,True,True
ORLY,True,True,True,True
