scenario,family,signal,mean_ic,ic_t,n_events,reject_reason
earnings_surprise,earnings,surprise_pct,0.0234,1.68,36862,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 70%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
sue_standardized,earnings,sue,0.0242,1.73,35916,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_magnitude,earnings,magnitude_score,0.0181,1.34,38725,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 68%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
positive_surprise_asymmetry,earnings,surprise_pos,0.0246,1.82,38326,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 70%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
earnings_momentum,earnings,earnings_momentum,0.0115,0.74,37385,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 71%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
earnings_acceleration,earnings,earnings_accel,0.0255,2.24,37020,mean_ic below +0.03 (or wrong-sign); sector-concentrated (Unknown 72%); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
beat_streak,earnings,beat_streak,0.0054,0.42,38725,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_fade,earnings,surprise_fade,-0.0234,-1.68,36862,"mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 74%); not stable across subperiods (a half flips sign); exploratory/challenge scenario - reported, not promoted as confirmed"
revenue_growth,fundamentals,rev_growth,0.0073,0.43,30012,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
earnings_growth,fundamentals,ni_growth,0.004,0.3,38084,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
gross_margin,fundamentals,gross_margin,0.0016,0.13,38216,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 74%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
operating_margin,fundamentals,op_margin,0.0014,0.1,38229,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 62%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
fcf_margin,fundamentals,fcf_margin,0.0202,1.84,37257,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 64%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
roa_quality,fundamentals,roa,0.0111,0.72,38142,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
low_leverage,fundamentals,low_debt,0.0036,0.26,38001,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 72%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
quality_composite,fundamentals,quality_composite,0.022,1.97,37178,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 25 bps cost; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
balance_sheet_strength,fundamentals,bs_strength,0.0289,1.97,37962,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 61%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
quality_improvement,fundamentals,quality_improvement,0.0089,0.66,38725,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
earnings_yield_value,valuation,earnings_yield,0.0078,0.46,37094,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 61%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
price_momentum_21,price,mom_pre_21,0.0089,0.61,20669,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 78%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
price_momentum_63,price,mom_pre_63,0.0032,0.18,20472,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 77%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
low_volatility,price,low_vol,-0.0137,-0.64,20775,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 69%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
low_beta,price,low_beta,-0.0147,-0.61,20767,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 76%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
liquidity,price,liquidity,,,0,"insufficient events (0<150); insufficient months (0<10); mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; exploratory/challenge scenario - reported, not promoted as confirmed"
sector_leadership,price,mom_pre_21,0.006,0.44,20669,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 81%); not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_high_rates,regime,surprise_pct,0.0079,0.42,18501,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 67%); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_easy_curve,regime,surprise_pct,0.0259,1.58,30794,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 69%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_drawdown,regime,surprise_pct,0.0255,0.85,2552,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 82%); not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
