ticker,need_price,need_fundamentals,has_price_cached,has_earnings_cached
AOS,True,True,False,False
AES,True,True,False,False
A,True,True,False,False
AKAM,True,True,False,False
ALB,True,True,False,False
ARE,True,True,False,False
ALGN,True,True,False,False
ALLE,True,True,False,False
LNT,True,True,False,False
ALL,True,True,False,False
GOOG,True,True,False,False
AMCR,True,True,False,False
AEE,True,True,False,False
AIG,True,True,False,False
AWK,True,True,False,False
AMP,True,True,False,False
AME,True,True,False,False
APA,True,True,False,False
APTV,True,True,False,False
ACGL,True,True,False,False
ADM,True,True,False,False
ARES,True,True,False,False
AJG,True,True,False,False
AIZ,True,True,False,False
ATO,True,True,False,False
ADSK,True,True,False,False
AZO,True,True,False,False
AVB,True,True,False,False
AVY,True,True,False,False
AXON,True,True,False,False
BALL,True,True,False,False
BAX,True,True,False,False
BDX,True,True,False,False
BRK.B,True,True,False,False
BBY,True,True,False,False
TECH,True,True,False,False
BIIB,True,True,False,False
XYZ,True,True,False,False
BR,True,True,False,False
BRO,True,True,False,False
BF.B,True,True,False,False
BLDR,True,True,False,False
BG,True,True,False,False
BXP,True,True,False,False
CHRW,True,True,False,False
CPT,True,True,False,False
CAH,True,True,False,False
CCL,True,True,False,False
CARR,True,True,False,False
CASY,True,True,False,False
CBOE,True,True,False,False
CBRE,True,True,False,False
CDW,True,True,False,False
COR,True,True,False,False
CNC,True,True,False,False
CNP,True,True,False,False
CF,True,True,False,False
CRL,True,True,False,False
CHTR,True,True,False,False
CMG,True,True,False,False
CHD,True,True,False,False
CINF,True,True,False,False
CFG,True,True,False,False
CLX,True,True,False,False
CMS,True,True,False,False
CTSH,True,True,False,False
COIN,True,True,False,False
CAG,True,True,False,False
ED,True,True,False,False
STZ,True,True,False,False
COO,True,True,False,False
CPRT,True,True,False,False
CPAY,True,True,False,False
CTVA,True,True,False,False
CSGP,True,True,False,False
CCI,True,True,False,False
DRI,True,True,False,False
DVA,True,True,False,False
DECK,True,True,False,False
DAL,True,True,False,False
DVN,True,True,False,False
DXCM,True,True,False,False
FANG,True,True,False,False
DG,True,True,False,False
DLTR,True,True,False,False
DPZ,True,True,False,False
DOV,True,True,False,False
DOW,True,True,False,False
DHI,True,True,False,False
DTE,True,True,False,False
DD,True,True,False,False
EBAY,True,True,False,False
SATS,True,True,False,False
EIX,True,True,False,False
EW,True,True,False,False
EA,True,True,False,False
EME,True,True,False,False
ETR,True,True,False,False
EQT,True,True,False,False
EFX,True,True,False,False
EQR,True,True,False,False
ERIE,True,True,False,False
ESS,True,True,False,False
EL,True,True,False,False
EG,True,True,False,False
EVRG,True,True,False,False
ES,True,True,False,False
EXC,True,True,False,False
EXE,True,True,False,False
EXPE,True,True,False,False
EXPD,True,True,False,False
EXR,True,True,False,False
FFIV,True,True,False,False
FDS,True,True,False,False
FICO,True,True,False,False
FAST,True,True,False,False
FRT,True,True,False,False
FDXF,True,True,False,False
FIS,True,True,False,False
FITB,True,True,False,False
FSLR,True,True,False,False
FE,True,True,False,False
FISV,True,True,False,False
FLEX,True,True,False,False
FTV,True,True,False,False
FOXA,True,True,False,False
FOX,True,True,False,False
BEN,True,True,False,False
GRMN,True,True,False,False
IT,True,True,False,False
GEHC,True,True,False,False
GEN,True,True,False,False
GNRC,True,True,False,False
GIS,True,True,False,False
GPC,True,True,False,False
GPN,True,True,False,False
GL,True,True,False,False
GDDY,True,True,False,False
HAL,True,True,False,False
HIG,True,True,False,False
HAS,True,True,False,False
DOC,True,True,False,False
HSIC,True,True,False,False
HSY,True,True,False,False
HRL,True,True,False,False
HST,True,True,False,False
HPQ,True,True,False,False
HUBB,True,True,False,False
HUM,True,True,False,False
HBAN,True,True,False,False
HII,True,True,False,False
IEX,True,True,False,False
IDXX,True,True,False,False
INCY,True,True,False,False
IR,True,True,False,False
PODD,True,True,False,False
IFF,True,True,False,False
IP,True,True,False,False
IVZ,True,True,False,False
INVH,True,True,False,False
IQV,True,True,False,False
IQVIA,True,True,False,False
IRM,True,True,False,False
JBHT,True,True,False,False
JBL,True,True,False,False
JKHY,True,True,False,False
J,True,True,False,False
KVUE,True,True,False,False
KDP,True,True,False,False
KEY,True,True,False,False
KMB,True,True,False,False
KIM,True,True,False,False
KHC,True,True,False,False
KR,True,True,False,False
LHX,True,True,False,False
LH,True,True,False,False
LVS,True,True,False,False
LDOS,True,True,False,False
LEN,True,True,False,False
LII,True,True,False,False
LYV,True,True,False,False
L,True,True,False,False
LULU,True,True,False,False
LYB,True,True,False,False
MTB,True,True,False,False
MLM,True,True,False,False
MAS,True,True,False,False
MKC,True,True,False,False
MET,True,True,False,False
MTD,True,True,False,False
MGM,True,True,False,False
MCHP,True,True,False,False
MAA,True,True,False,False
MRNA,True,True,False,False
TAP,True,True,False,False
MOS,True,True,False,False
MSCI,True,True,False,False
NDAQ,True,True,False,False
NTAP,True,True,False,False
NWSA,True,True,False,False
NWS,True,True,False,False
NI,True,True,False,False
NDSN,True,True,False,False
NTRS,True,True,False,False
NCLH,True,True,False,False
NRG,True,True,False,False
NVR,True,True,False,False
OXY,True,True,False,False
ODFL,True,True,False,False
OMC,True,True,False,False
ON,True,True,False,False
OKE,True,True,False,False
OTIS,True,True,False,False
PKG,True,True,False,False
PSKY,True,True,False,False
PAYX,True,True,False,False
PYPL,True,True,False,False
PNR,True,True,False,False
PCG,True,True,False,False
PNW,True,True,False,False
PPG,True,True,False,False
PPL,True,True,False,False
PFG,True,True,False,False
PRU,True,True,False,False
PEG,True,True,False,False
PTC,True,True,False,False
PSA,True,True,False,False
PHM,True,True,False,False
DGX,True,True,False,False
Q,True,True,False,False
RL,True,True,False,False
RJF,True,True,False,False
REG,True,True,False,False
RF,True,True,False,False
RMD,True,True,False,False
RVTY,True,True,False,False
ROK,True,True,False,False
ROL,True,True,False,False
ROP,True,True,False,False
SBAC,True,True,False,False
SWKS,True,True,False,False
SJM,True,True,False,False
SW,True,True,False,False
SNA,True,True,False,False
SOLV,True,True,False,False
LUV,True,True,False,False
SWK,True,True,False,False
STT,True,True,False,False
STLD,True,True,False,False
STE,True,True,False,False
