ticker,has_price,has_earnings,has_fundamentals,need_price,need_fundamentals,scoreable_after_combined
AOS,False,False,False,True,True,True
AES,False,False,False,True,True,True
A,False,False,False,True,True,True
AKAM,False,False,False,True,True,True
ALB,False,False,False,True,True,True
ARE,False,False,False,True,True,True
ALGN,False,False,False,True,True,True
ALLE,False,False,False,True,True,True
LNT,False,False,False,True,True,True
ALL,False,False,False,True,True,True
GOOG,False,False,False,True,True,True
AMCR,False,False,False,True,True,True
AEE,False,False,False,True,True,True
AIG,False,False,False,True,True,True
AWK,False,False,False,True,True,True
AMP,False,False,False,True,True,True
AME,False,False,False,True,True,True
APA,False,False,False,True,True,True
APTV,False,False,False,True,True,True
ACGL,False,False,False,True,True,True
ADM,False,False,False,True,True,True
ARES,False,False,False,True,True,True
AJG,False,False,False,True,True,True
AIZ,False,False,False,True,True,True
ATO,False,False,False,True,True,True
ADSK,False,False,False,True,True,True
AZO,False,False,False,True,True,True
AVB,False,False,False,True,True,True
AVY,False,False,False,True,True,True
AXON,False,False,False,True,True,True
BALL,False,False,False,True,True,True
BAX,False,False,False,True,True,True
BDX,False,False,False,True,True,True
BRK.B,False,False,False,True,True,True
BBY,False,False,False,True,True,True
TECH,False,False,False,True,True,True
BIIB,False,False,False,True,True,True
XYZ,False,False,False,True,True,True
BR,False,False,False,True,True,True
BRO,False,False,False,True,True,True
BF.B,False,False,False,True,True,True
BLDR,False,False,False,True,True,True
BG,False,False,False,True,True,True
BXP,False,False,False,True,True,True
CHRW,False,False,False,True,True,True
CPT,False,False,False,True,True,True
CAH,False,False,False,True,True,True
CCL,False,False,False,True,True,True
CARR,False,False,False,True,True,True
CASY,False,False,False,True,True,True
CBOE,False,False,False,True,True,True
CBRE,False,False,False,True,True,True
CDW,False,False,False,True,True,True
COR,False,False,False,True,True,True
CNC,False,False,False,True,True,True
CNP,False,False,False,True,True,True
CF,False,False,False,True,True,True
CRL,False,False,False,True,True,True
CHTR,False,False,False,True,True,True
CMG,False,False,False,True,True,True
CHD,False,False,False,True,True,True
CINF,False,False,False,True,True,True
CFG,False,False,False,True,True,True
CLX,False,False,False,True,True,True
CMS,False,False,False,True,True,True
CTSH,False,False,False,True,True,True
COIN,False,False,False,True,True,True
CAG,False,False,False,True,True,True
ED,False,False,False,True,True,True
STZ,False,False,False,True,True,True
COO,False,False,False,True,True,True
CPRT,False,False,False,True,True,True
CPAY,False,False,False,True,True,True
CTVA,False,False,False,True,True,True
CSGP,False,False,False,True,True,True
CCI,False,False,False,True,True,True
DRI,False,False,False,True,True,True
DVA,False,False,False,True,True,True
DECK,False,False,False,True,True,True
DAL,False,False,False,True,True,True
DVN,False,False,False,True,True,True
DXCM,False,False,False,True,True,True
FANG,False,False,False,True,True,True
DG,False,False,False,True,True,True
DLTR,False,False,False,True,True,True
DPZ,False,False,False,True,True,True
DOV,False,False,False,True,True,True
DOW,False,False,False,True,True,True
DHI,False,False,False,True,True,True
DTE,False,False,False,True,True,True
DD,False,False,False,True,True,True
EBAY,False,False,False,True,True,True
SATS,False,False,False,True,True,True
EIX,False,False,False,True,True,True
EW,False,False,False,True,True,True
EA,False,False,False,True,True,True
EME,False,False,False,True,True,True
ETR,False,False,False,True,True,True
EQT,False,False,False,True,True,True
EFX,False,False,False,True,True,True
EQR,False,False,False,True,True,True
ERIE,False,False,False,True,True,True
ESS,False,False,False,True,True,True
EL,False,False,False,True,True,True
EG,False,False,False,True,True,True
EVRG,False,False,False,True,True,True
ES,False,False,False,True,True,True
EXC,False,False,False,True,True,True
EXE,False,False,False,True,True,True
EXPE,False,False,False,True,True,True
EXPD,False,False,False,True,True,True
EXR,False,False,False,True,True,True
FFIV,False,False,False,True,True,True
FDS,False,False,False,True,True,True
FICO,False,False,False,True,True,True
FAST,False,False,False,True,True,True
FRT,False,False,False,True,True,True
FDXF,False,False,False,True,True,True
FIS,False,False,False,True,True,True
FITB,False,False,False,True,True,True
FSLR,False,False,False,True,True,True
FE,False,False,False,True,True,True
FISV,False,False,False,True,True,True
FLEX,False,False,False,True,True,True
FTV,False,False,False,True,True,True
FOXA,False,False,False,True,True,True
FOX,False,False,False,True,True,True
BEN,False,False,False,True,True,True
GRMN,False,False,False,True,True,True
IT,False,False,False,True,True,True
GEHC,False,False,False,True,True,True
GEN,False,False,False,True,True,True
GNRC,False,False,False,True,True,True
GIS,False,False,False,True,True,True
GPC,False,False,False,True,True,True
GPN,False,False,False,True,True,True
GL,False,False,False,True,True,True
GDDY,False,False,False,True,True,True
HAL,False,False,False,True,True,True
HIG,False,False,False,True,True,True
HAS,False,False,False,True,True,True
DOC,False,False,False,True,True,True
HSIC,False,False,False,True,True,True
HSY,False,False,False,True,True,True
HRL,False,False,False,True,True,True
HST,False,False,False,True,True,True
HPQ,False,False,False,True,True,True
HUBB,False,False,False,True,True,True
HUM,False,False,False,True,True,True
HBAN,False,False,False,True,True,True
HII,False,False,False,True,True,True
IEX,False,False,False,True,True,True
IDXX,False,False,False,True,True,True
INCY,False,False,False,True,True,True
IR,False,False,False,True,True,True
PODD,False,False,False,True,True,True
IFF,False,False,False,True,True,True
IP,False,False,False,True,True,True
IVZ,False,False,False,True,True,True
INVH,False,False,False,True,True,True
IQV,False,False,False,True,True,True
IQVIA,False,False,False,True,True,True
IRM,False,False,False,True,True,True
JBHT,False,False,False,True,True,True
JBL,False,False,False,True,True,True
JKHY,False,False,False,True,True,True
J,False,False,False,True,True,True
KVUE,False,False,False,True,True,True
KDP,False,False,False,True,True,True
KEY,False,False,False,True,True,True
KMB,False,False,False,True,True,True
KIM,False,False,False,True,True,True
KHC,False,False,False,True,True,True
KR,False,False,False,True,True,True
LHX,False,False,False,True,True,True
LH,False,False,False,True,True,True
LVS,False,False,False,True,True,True
LDOS,False,False,False,True,True,True
LEN,False,False,False,True,True,True
LII,False,False,False,True,True,True
LYV,False,False,False,True,True,True
L,False,False,False,True,True,True
LULU,False,False,False,True,True,True
LYB,False,False,False,True,True,True
MTB,False,False,False,True,True,True
MLM,False,False,False,True,True,True
MAS,False,False,False,True,True,True
MKC,False,False,False,True,True,True
MET,False,False,False,True,True,True
MTD,False,False,False,True,True,True
MGM,False,False,False,True,True,True
MCHP,False,False,False,True,True,True
MAA,False,False,False,True,True,True
MRNA,False,False,False,True,True,True
TAP,False,False,False,True,True,True
MOS,False,False,False,True,True,True
MSCI,False,False,False,True,True,True
NDAQ,False,False,False,True,True,True
NTAP,False,False,False,True,True,True
NWSA,False,False,False,True,True,True
NWS,False,False,False,True,True,True
NI,False,False,False,True,True,True
NDSN,False,False,False,True,True,True
NTRS,False,False,False,True,True,True
NCLH,False,False,False,True,True,True
NRG,False,False,False,True,True,True
NVR,False,False,False,True,True,True
OXY,False,False,False,True,True,True
ODFL,False,False,False,True,True,True
OMC,False,False,False,True,True,True
ON,False,False,False,True,True,True
OKE,False,False,False,True,True,True
OTIS,False,False,False,True,True,True
PKG,False,False,False,True,True,True
PSKY,False,False,False,True,True,True
PAYX,False,False,False,True,True,True
PYPL,False,False,False,True,True,True
PNR,False,False,False,True,True,True
PCG,False,False,False,True,True,True
PNW,False,False,False,True,True,True
PPG,False,False,False,True,True,True
PPL,False,False,False,True,True,True
PFG,False,False,False,True,True,True
PRU,False,False,False,True,True,True
PEG,False,False,False,True,True,True
PTC,False,False,False,True,True,True
PSA,False,False,False,True,True,True
PHM,False,False,False,True,True,True
DGX,False,False,False,True,True,True
Q,False,False,False,True,True,True
RL,False,False,False,True,True,True
RJF,False,False,False,True,True,True
REG,False,False,False,True,True,True
RF,False,False,False,True,True,True
RMD,False,False,False,True,True,True
RVTY,False,False,False,True,True,True
ROK,False,False,False,True,True,True
ROL,False,False,False,True,True,True
ROP,False,False,False,True,True,True
SBAC,False,False,False,True,True,True
SWKS,False,False,False,True,True,True
SJM,False,False,False,True,True,True
SW,False,False,False,True,True,True
SNA,False,False,False,True,True,True
SOLV,False,False,False,True,True,True
LUV,False,False,False,True,True,True
SWK,False,False,False,True,True,True
STT,False,False,False,True,True,True
STLD,False,False,False,True,True,True
STE,False,False,False,True,True,True
SMCI,False,False,False,True,True,True
SYF,False,False,False,True,True,True
SYY,False,False,False,True,True,True
TROW,False,False,False,True,True,True
TTWO,False,False,False,True,True,True
TPR,False,False,False,True,True,True
TDY,False,False,False,True,True,True
TPL,False,False,False,True,True,True
TXT,False,False,False,True,True,True
TKO,False,False,False,True,True,True
TTD,False,False,False,True,True,True
TSCO,False,False,False,True,True,True
TRMB,False,False,False,True,True,True
TYL,False,False,False,True,True,True
TSN,False,False,False,True,True,True
UDR,False,False,False,True,True,True
ULTA,False,False,False,True,True,True
UAL,False,False,False,True,True,True
UHS,False,False,False,True,True,True
VEEV,False,False,False,True,True,True
VTR,False,False,False,True,True,True
VLTO,False,False,False,True,True,True
VRSN,False,False,False,True,True,True
VRSK,False,False,False,True,True,True
VTRS,False,False,False,True,True,True
VICI,False,False,False,True,True,True
VST,False,False,False,True,True,True
VMC,False,False,False,True,True,True
WRB,False,False,False,True,True,True
WAB,False,False,False,True,True,True
WAT,False,False,False,True,True,True
WEC,False,False,False,True,True,True
WST,False,False,False,True,True,True
WY,False,False,False,True,True,True
WSM,False,False,False,True,True,True
WTW,False,False,False,True,True,True
WDAY,False,False,False,True,True,True
WYNN,False,False,False,True,True,True
XEL,False,False,False,True,True,True
XYL,False,False,False,True,True,True
YUM,False,False,False,True,True,True
ZBRA,False,False,False,True,True,True
ZBH,False,False,False,True,True,True
ZTS,False,False,False,True,True,True
