rank,ticker,in_price_cache,has_earnings_cache,has_fundamentals_cache
1,MMM,True,True,True
2,AOS,False,False,False
3,ABT,True,True,True
4,ABBV,True,True,True
5,ACN,True,True,True
6,ADBE,True,True,True
7,AMD,True,True,True
8,AES,False,False,False
9,AFL,True,True,True
10,A,False,False,False
11,APD,True,True,True
12,ABNB,True,True,True
13,AKAM,False,False,False
14,ALB,False,False,False
15,ARE,False,False,False
16,ALGN,False,False,False
17,ALLE,False,False,False
18,LNT,False,False,False
19,ALL,False,False,False
20,GOOGL,True,True,True
21,GOOG,False,False,False
22,MO,True,True,True
23,AMZN,True,True,True
24,AMCR,False,False,False
25,AEE,False,False,False
26,AEP,True,True,True
27,AXP,True,True,True
28,AIG,False,False,False
29,AMT,True,True,True
30,AWK,False,False,False
31,AMP,False,False,False
32,AME,False,False,False
33,AMGN,True,True,True
34,APH,True,True,True
35,ADI,True,True,True
36,AON,True,True,True
37,APA,False,False,False
38,APO,True,True,True
39,AAPL,True,True,True
40,AMAT,True,True,True
41,APP,True,True,True
42,APTV,False,False,False
43,ACGL,False,False,False
44,ADM,False,False,False
45,ARES,False,False,False
46,ANET,True,True,True
47,AJG,False,False,False
48,AIZ,False,False,False
49,T,True,True,True
50,ATO,False,False,False
51,ADSK,False,False,False
52,ADP,True,True,True
53,AZO,False,False,False
54,AVB,False,False,False
55,AVY,False,False,False
56,AXON,False,False,False
57,BKR,True,True,True
58,BALL,False,False,False
59,BAC,True,True,True
60,BAX,False,False,False
61,BDX,False,False,False
62,BRK.B,False,False,False
63,BBY,False,False,False
64,TECH,False,False,False
65,BIIB,False,False,False
66,BLK,True,True,True
67,BX,True,True,True
68,XYZ,False,False,False
69,BNY,True,True,True
70,BA,True,True,True
71,BKNG,True,True,True
72,BSX,True,True,True
73,BMY,True,True,True
74,AVGO,True,True,True
75,BR,False,False,False
76,BRO,False,False,False
77,BF.B,False,False,False
78,BLDR,False,False,False
79,BG,False,False,False
80,BXP,False,False,False
81,CHRW,False,False,False
82,CDNS,True,True,True
83,CPT,False,False,False
84,COF,True,True,True
85,CAH,False,False,False
86,CCL,False,False,False
87,CARR,False,False,False
88,CVNA,True,True,True
89,CASY,False,False,False
90,CAT,True,True,True
91,CBOE,False,False,False
92,CBRE,False,False,False
93,CDW,False,False,False
94,COR,False,False,False
95,CNC,False,False,False
96,CNP,False,False,False
97,CF,False,False,False
98,CRL,False,False,False
99,SCHW,True,True,True
100,CHTR,False,False,False
101,CVX,True,True,True
102,CMG,False,False,False
103,CB,True,True,True
104,CHD,False,False,False
105,CIEN,True,True,True
106,CI,True,True,True
107,CINF,False,False,False
108,CTAS,True,True,True
109,CSCO,True,True,True
110,C,True,True,True
111,CFG,False,False,False
112,CLX,False,False,False
113,CME,True,True,True
114,CMS,False,False,False
115,KO,True,True,True
116,CTSH,False,False,False
117,COHR,True,True,True
118,COIN,False,False,False
119,CL,True,True,True
120,CMCSA,True,True,True
121,FIX,True,True,True
122,CAG,False,False,False
123,COP,True,True,True
124,ED,False,False,False
125,STZ,False,False,False
126,CEG,True,True,True
127,COO,False,False,False
128,CPRT,False,False,False
129,GLW,True,True,True
130,CPAY,False,False,False
131,CTVA,False,False,False
132,CSGP,False,False,False
133,COST,True,True,True
134,CRH,True,True,True
135,CRWD,True,True,True
136,CCI,False,False,False
137,CSX,True,True,True
138,CMI,True,True,True
139,CVS,True,True,True
140,DHR,True,True,True
141,DRI,False,False,False
142,DDOG,True,True,True
143,DVA,False,False,False
144,DECK,False,False,False
145,DE,True,True,True
146,DELL,True,True,True
147,DAL,False,False,False
148,DVN,False,False,False
149,DXCM,False,False,False
150,FANG,False,False,False
151,DLR,True,True,True
152,DG,False,False,False
153,DLTR,False,False,False
154,D,True,True,True
155,DPZ,False,False,False
156,DASH,True,True,True
157,DOV,False,False,False
158,DOW,False,False,False
159,DHI,False,False,False
160,DTE,False,False,False
161,DUK,True,True,True
162,DD,False,False,False
163,ETN,True,True,True
164,EBAY,False,False,False
165,SATS,False,False,False
166,ECL,True,True,True
167,EIX,False,False,False
168,EW,False,False,False
169,EA,False,False,False
170,ELV,True,True,True
171,EME,False,False,False
172,EMR,True,True,True
173,ETR,False,False,False
174,EOG,True,True,True
175,EQT,False,False,False
176,EFX,False,False,False
177,EQIX,True,True,True
178,EQR,False,False,False
179,ERIE,False,False,False
180,ESS,False,False,False
181,EL,False,False,False
182,EG,False,False,False
183,EVRG,False,False,False
184,ES,False,False,False
185,EXC,False,False,False
186,EXE,False,False,False
187,EXPE,False,False,False
188,EXPD,False,False,False
189,EXR,False,False,False
190,XOM,True,True,True
191,FFIV,False,False,False
192,FDS,False,False,False
193,FICO,False,False,False
194,FAST,False,False,False
195,FRT,False,False,False
196,FDX,True,True,True
197,FDXF,False,False,False
198,FIS,False,False,False
199,FITB,False,False,False
200,FSLR,False,False,False
201,FE,False,False,False
202,FISV,False,False,False
203,FLEX,False,False,False
204,F,True,True,True
205,FTNT,True,True,True
206,FTV,False,False,False
207,FOXA,False,False,False
208,FOX,False,False,False
209,BEN,False,False,False
210,FCX,True,True,True
211,GRMN,False,False,False
212,IT,False,False,False
213,GE,True,True,True
214,GEHC,False,False,False
215,GEV,True,True,True
216,GEN,False,False,False
217,GNRC,False,False,False
218,GD,True,True,True
219,GIS,False,False,False
220,GM,True,True,True
221,GPC,False,False,False
222,GILD,True,True,True
223,GPN,False,False,False
224,GL,False,False,False
225,GDDY,False,False,False
226,GS,True,True,True
227,HAL,False,False,False
228,HIG,False,False,False
229,HAS,False,False,False
230,HCA,True,True,True
231,DOC,False,False,False
232,HSIC,False,False,False
233,HSY,False,False,False
234,HPE,True,True,True
235,HLT,True,True,True
236,HD,True,True,True
237,HON,True,True,True
238,HRL,False,False,False
239,HST,False,False,False
240,HWM,True,True,True
241,HPQ,False,False,False
242,HUBB,False,False,False
243,HUM,False,False,False
244,HBAN,False,False,False
245,HII,False,False,False
246,IBM,True,True,True
247,IEX,False,False,False
248,IDXX,False,False,False
249,ITW,True,True,True
250,INCY,False,False,False
251,IR,False,False,False
252,PODD,False,False,False
253,INTC,True,True,True
254,IBKR,True,True,True
255,ICE,True,True,True
256,IFF,False,False,False
257,IP,False,False,False
258,INTU,True,True,True
259,ISRG,True,True,True
260,IVZ,False,False,False
261,INVH,False,False,False
262,IQV,False,False,False
263,IQVIA,False,False,False
264,IRM,False,False,False
265,JBHT,False,False,False
266,JBL,False,False,False
267,JKHY,False,False,False
268,J,False,False,False
269,JNJ,True,True,True
270,JCI,True,True,True
271,JPM,True,True,True
272,KVUE,False,False,False
273,KDP,False,False,False
274,KEY,False,False,False
275,KEYS,True,True,True
276,KMB,False,False,False
277,KIM,False,False,False
278,KMI,True,True,True
279,KKR,True,True,True
280,KLAC,True,True,True
281,KHC,False,False,False
282,KR,False,False,False
283,LHX,False,False,False
284,LH,False,False,False
285,LRCX,True,True,True
286,LVS,False,False,False
287,LDOS,False,False,False
288,LEN,False,False,False
289,LII,False,False,False
290,LLY,True,True,True
291,LIN,True,True,True
292,LYV,False,False,False
293,LMT,True,True,True
294,L,False,False,False
295,LOW,True,True,True
296,LULU,False,False,False
297,LITE,True,True,True
298,LYB,False,False,False
299,MTB,False,False,False
300,MPC,True,True,True
301,MAR,True,True,True
302,MRSH,True,True,True
303,MLM,False,False,False
304,MRVL,True,True,True
305,MAS,False,False,False
306,MA,True,True,True
307,MKC,False,False,False
308,MCD,True,True,True
309,MCK,True,True,True
310,MDT,True,True,True
311,MRK,True,True,True
312,META,True,True,True
313,MET,False,False,False
314,MTD,False,False,False
315,MGM,False,False,False
316,MCHP,False,False,False
317,MU,True,True,True
318,MSFT,True,True,True
319,MAA,False,False,False
320,MRNA,False,False,False
321,TAP,False,False,False
322,MDLZ,True,True,True
323,MPWR,True,True,True
324,MNST,True,True,True
325,MCO,True,True,True
326,MS,True,True,True
327,MOS,False,False,False
328,MSI,True,True,True
329,MSCI,False,False,False
330,NDAQ,False,False,False
331,NTAP,False,False,False
332,NFLX,True,True,True
333,NEM,True,True,True
334,NWSA,False,False,False
335,NWS,False,False,False
336,NEE,True,True,True
337,NKE,True,True,True
338,NI,False,False,False
339,NDSN,False,False,False
340,NSC,True,True,True
341,NTRS,False,False,False
342,NOC,True,True,True
343,NCLH,False,False,False
344,NRG,False,False,False
345,NUE,True,True,True
346,NVDA,True,True,True
347,NVR,False,False,False
348,NXPI,True,True,True
349,ORLY,True,True,True
350,OXY,False,False,False
351,ODFL,False,False,False
352,OMC,False,False,False
353,ON,False,False,False
354,OKE,False,False,False
355,ORCL,True,True,True
356,OTIS,False,False,False
357,PCAR,True,True,True
358,PKG,False,False,False
359,PLTR,True,True,True
360,PANW,True,True,True
361,PSKY,False,False,False
362,PH,True,True,True
363,PAYX,False,False,False
364,PYPL,False,False,False
365,PNR,False,False,False
366,PEP,True,True,True
367,PFE,True,True,True
368,PCG,False,False,False
369,PM,True,True,True
370,PSX,True,True,True
371,PNW,False,False,False
372,PNC,True,True,True
373,PPG,False,False,False
374,PPL,False,False,False
375,PFG,False,False,False
376,PG,True,True,True
377,PGR,True,True,True
378,PLD,True,True,True
379,PRU,False,False,False
380,PEG,False,False,False
381,PTC,False,False,False
382,PSA,False,False,False
383,PHM,False,False,False
384,PWR,True,True,True
385,QCOM,True,True,True
386,DGX,False,False,False
387,Q,False,False,False
388,RL,False,False,False
389,RJF,False,False,False
390,RTX,True,True,True
391,O,True,True,True
392,REG,False,False,False
393,REGN,True,True,True
394,RF,False,False,False
395,RSG,True,True,True
396,RMD,False,False,False
397,RVTY,False,False,False
398,HOOD,True,True,True
399,ROK,False,False,False
400,ROL,False,False,False
401,ROP,False,False,False
402,ROST,True,True,True
403,RCL,True,True,True
404,SPGI,True,True,True
405,CRM,True,True,True
406,SNDK,True,True,True
407,SBAC,False,False,False
408,SLB,True,True,True
409,STX,True,True,True
410,SRE,True,True,True
411,NOW,True,True,True
412,SHW,True,True,True
413,SPG,True,True,True
414,SWKS,False,False,False
415,SJM,False,False,False
416,SW,False,False,False
417,SNA,False,False,False
418,SOLV,False,False,False
419,SO,True,True,True
420,LUV,False,False,False
421,SWK,False,False,False
422,SBUX,True,True,True
