name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
earnings_surprise,scenario,earnings,0.0442,2.85,-0.0064,-0.35,False,True
sue_standardized,scenario,earnings,0.0366,2.19,0.0002,0.01,True,False
surprise_magnitude,scenario,earnings,0.0411,2.68,-0.0085,-0.46,False,True
positive_surprise_asymmetry,scenario,earnings,0.0488,3.08,-0.0088,-0.49,False,True
earnings_momentum,scenario,earnings,-0.002,-0.1,0.0139,0.69,False,False
earnings_acceleration,scenario,earnings,0.0371,2.57,0.012,0.73,True,False
beat_streak,scenario,earnings,0.0289,1.78,-0.0304,-1.58,False,True
surprise_fade,scenario,earnings,-0.0442,-2.85,0.0064,0.35,False,False
revenue_growth,scenario,fundamentals,0.0133,0.7,0.0122,0.6,True,False
earnings_growth,scenario,fundamentals,0.0111,0.67,0.0068,0.36,True,False
gross_margin,scenario,fundamentals,0.0097,0.63,-0.0098,-0.57,False,True
operating_margin,scenario,fundamentals,-0.001,-0.06,-0.0128,-0.61,False,False
fcf_margin,scenario,fundamentals,0.0153,0.98,0.0171,0.95,True,False
roa_quality,scenario,fundamentals,0.003,0.18,0.0056,0.27,True,False
low_leverage,scenario,fundamentals,-0.0117,-0.69,0.02,1.03,False,False
quality_composite,scenario,fundamentals,0.0165,1.01,0.0178,0.99,True,False
balance_sheet_strength,scenario,fundamentals,0.0158,0.84,0.024,1.25,True,False
quality_improvement,scenario,fundamentals,0.0286,1.84,-0.0098,-0.5,False,True
earnings_yield_value,scenario,valuation,0.0,0.0,0.0052,0.23,False,False
margin_expansion,scenario,fundamentals,0.0376,2.32,-0.001,-0.05,False,True
price_momentum_21,scenario,price,0.0202,1.14,-0.0082,-0.43,False,True
price_momentum_63,scenario,price,0.0086,0.4,-0.0029,-0.13,False,True
low_volatility,scenario,price,-0.0294,-1.21,-0.0068,-0.27,False,False
low_beta,scenario,price,-0.0212,-0.78,0.0053,0.19,False,False
liquidity,scenario,price,,,,,False,False
sector_leadership,scenario,price,0.0113,0.71,-0.0099,-0.51,False,True
price_reversal_21,scenario,price,0.0202,1.14,-0.0082,-0.43,False,True
beta_signal,scenario,price,-0.0212,-0.78,0.0053,0.19,False,False
low_vol_sector_neutral,scenario,price,-0.0362,-1.63,-0.0058,-0.23,False,False
sector_relative_strength,scenario,price,0.0104,0.56,-0.0052,-0.24,False,True
surprise_high_rates,scenario,regime,0.0232,1.0,-0.0072,-0.31,False,True
surprise_easy_curve,scenario,regime,0.0327,1.76,0.0058,0.26,True,False
surprise_drawdown,scenario,regime,0.0623,1.86,-0.0103,-0.27,False,True
surprise_high_oil,scenario,regime,0.0516,2.97,-0.0008,-0.04,False,True
sue_easy_curve,scenario,regime,0.0219,1.06,0.0239,1.06,True,False
surprise_x_quality,scenario,interaction,0.0471,2.99,-0.0065,-0.35,False,True
surprise_x_qualimp,scenario,interaction,0.0443,2.86,-0.0067,-0.36,False,True
surprise_x_margin_exp,scenario,interaction,0.0312,1.77,-0.0163,-0.87,False,True
surprise_x_valuation,scenario,interaction,0.0178,1.07,-0.0128,-0.6,False,True
surprise_x_momentum,scenario,interaction,0.0236,1.28,-0.0053,-0.27,False,True
surprise_x_lowvol,scenario,interaction,-0.0231,-0.97,-0.0139,-0.56,False,False
sue_x_quality,scenario,interaction,-0.0003,-0.01,-0.0025,-0.12,False,False
sue_x_momentum,scenario,interaction,0.0179,1.02,-0.0093,-0.48,False,True
beats_x_momentum,scenario,interaction,0.0266,1.63,-0.0255,-1.43,False,True
accel_x_quality,scenario,interaction,0.003,0.15,0.0025,0.12,True,False
accel_x_momentum,scenario,interaction,0.0026,0.12,-0.0022,-0.1,False,True
surprise_sector_neutral,scenario,earnings,0.0514,2.96,-0.0076,-0.41,False,True
sue_sector_neutral,scenario,earnings,0.0422,2.65,-0.0011,-0.06,False,True
earnings_blend__equal,model,model,0.0328,1.69,-0.0313,-1.54,False,True
earnings_blend__ic_sign,model,model,-0.0035,-0.2,-0.0628,-2.98,False,False
earnings_blend__ic_weighted,model,model,0.0057,0.31,-0.0628,-3.03,False,True
quality_blend__equal,model,model,0.0125,0.61,-0.0,-0.0,False,True
quality_blend__ic_sign,model,model,-0.0077,-0.36,-0.0165,-0.77,False,False
quality_blend__ic_weighted,model,model,-0.0023,-0.11,-0.0012,-0.06,False,False
value_price_blend__equal,model,model,0.0038,0.15,-0.0133,-0.53,False,True
value_price_blend__ic_sign,model,model,-0.0053,-0.2,-0.0205,-0.83,False,False
value_price_blend__ic_weighted,model,model,-0.0125,-0.47,0.0033,0.12,False,False
kitchen_sink_blend__equal,model,model,0.0322,1.56,-0.0187,-0.77,False,True
kitchen_sink_blend__ic_sign,model,model,-0.0142,-0.65,-0.0458,-1.82,False,False
kitchen_sink_blend__ic_weighted,model,model,-0.0147,-0.63,-0.0235,-0.86,False,False
