name,kind,family,mean_decile_spread,decile_hit_rate,n_months,top_decile_ret,bottom_decile_ret
earnings_surprise,scenario,earnings,0.0045,0.625,120,0.0073,0.0027
sue_standardized,scenario,earnings,-0.0007,0.45,120,0.0024,0.0031
surprise_magnitude,scenario,earnings,0.0009,0.5833,120,0.0032,0.0023
positive_surprise_asymmetry,scenario,earnings,0.001,0.5667,120,0.0076,0.0066
earnings_momentum,scenario,earnings,0.0003,0.55,120,0.0086,0.0084
earnings_acceleration,scenario,earnings,0.0056,0.5083,120,0.008,0.0024
beat_streak,scenario,earnings,-0.008,0.5333,120,-0.0021,0.0059
surprise_fade,scenario,earnings,-0.0054,0.6167,120,0.0021,0.0076
revenue_growth,scenario,fundamentals,0.0062,0.55,120,0.0097,0.0034
earnings_growth,scenario,fundamentals,-0.0001,0.4667,120,0.0063,0.0064
gross_margin,scenario,fundamentals,-0.0002,0.4917,120,0.0058,0.006
operating_margin,scenario,fundamentals,-0.0068,0.5333,120,0.0014,0.0082
fcf_margin,scenario,fundamentals,0.0056,0.55,120,0.003,-0.0026
roa_quality,scenario,fundamentals,-0.0091,0.5,120,0.0018,0.0109
low_leverage,scenario,fundamentals,-0.0007,0.5,120,0.0058,0.0065
quality_composite,scenario,fundamentals,0.0065,0.5583,120,0.0037,-0.0028
balance_sheet_strength,scenario,fundamentals,0.0095,0.575,120,0.0047,-0.0048
quality_improvement,scenario,fundamentals,0.0033,0.525,120,0.0072,0.0039
earnings_yield_value,scenario,valuation,-0.0031,0.5167,120,0.0058,0.0089
margin_expansion,scenario,fundamentals,0.0059,0.55,120,0.0081,0.0022
price_momentum_21,scenario,price,0.0036,0.5126,119,0.0093,0.0057
price_momentum_63,scenario,price,0.0003,0.5126,119,0.006,0.0056
low_volatility,scenario,price,-0.0169,0.5882,119,-0.0017,0.0153
low_beta,scenario,price,-0.014,0.6134,119,0.0001,0.0141
liquidity,scenario,price,,,0,,
sector_leadership,scenario,price,0.0036,0.5126,119,0.0093,0.0057
price_reversal_21,scenario,price,0.0036,0.5126,119,0.0093,0.0057
beta_signal,scenario,price,-0.014,0.6134,119,0.0001,0.0141
low_vol_sector_neutral,scenario,price,-0.0169,0.5882,119,-0.0017,0.0153
sector_relative_strength,scenario,price,0.0003,0.5126,119,0.006,0.0056
surprise_high_rates,scenario,regime,0.0045,0.625,120,0.0073,0.0027
surprise_easy_curve,scenario,regime,0.0045,0.625,120,0.0073,0.0027
surprise_drawdown,scenario,regime,0.0045,0.625,120,0.0073,0.0027
surprise_high_oil,scenario,regime,0.0045,0.625,120,0.0073,0.0027
sue_easy_curve,scenario,regime,-0.0007,0.45,120,0.0024,0.0031
surprise_x_quality,scenario,interaction,0.0058,0.625,120,0.0069,0.0011
surprise_x_qualimp,scenario,interaction,0.0049,0.6167,120,0.0073,0.0024
surprise_x_margin_exp,scenario,interaction,0.0062,0.5917,120,0.009,0.0027
surprise_x_valuation,scenario,interaction,0.0021,0.5667,120,0.0088,0.0067
surprise_x_momentum,scenario,interaction,0.0059,0.5126,119,0.0099,0.004
surprise_x_lowvol,scenario,interaction,-0.0163,0.5462,119,-0.0006,0.0157
sue_x_quality,scenario,interaction,-0.0086,0.5,120,0.0018,0.0103
sue_x_momentum,scenario,interaction,0.003,0.5294,119,0.0079,0.0048
beats_x_momentum,scenario,interaction,-0.0028,0.4286,119,0.0012,0.0039
accel_x_quality,scenario,interaction,-0.0057,0.5,120,0.0035,0.0092
accel_x_momentum,scenario,interaction,0.0003,0.4958,119,0.006,0.0057
surprise_sector_neutral,scenario,earnings,0.0045,0.625,120,0.0073,0.0027
sue_sector_neutral,scenario,earnings,-0.0007,0.45,120,0.0024,0.0031
earnings_blend__equal,model,model,0.0037,0.5417,96,0.0061,0.0024
earnings_blend__ic_sign,model,model,0.0003,0.5104,96,0.0042,0.0039
earnings_blend__ic_weighted,model,model,-0.0045,0.5,96,0.0007,0.0052
quality_blend__equal,model,model,0.0028,0.5833,96,0.0013,-0.0015
quality_blend__ic_sign,model,model,-0.002,0.4688,96,0.0013,0.0032
quality_blend__ic_weighted,model,model,0.0008,0.5625,96,0.0004,-0.0004
value_price_blend__equal,model,model,-0.0121,0.4583,96,0.0005,0.0126
value_price_blend__ic_sign,model,model,-0.0027,0.5417,96,0.005,0.0076
value_price_blend__ic_weighted,model,model,-0.004,0.5833,96,0.0042,0.0082
kitchen_sink_blend__equal,model,model,0.0004,0.5312,96,0.0044,0.004
kitchen_sink_blend__ic_sign,model,model,-0.0046,0.4896,96,0.0053,0.0099
kitchen_sink_blend__ic_weighted,model,model,-0.0048,0.5,96,0.0048,0.0096
