name,kind,family,weighting,sector_neutral,n_events,n_months,mean_ic,ic_t,ic_p,bh_significant,mean_spread,spread_hit_rate,net_spread_25bps,net_spread_50bps,subperiod_stable,ic_old,ic_new,top_sector_share,status
earnings_surprise,scenario,earnings,,False,36862,120,0.0234,1.68,0.0929,False,0.003,0.6417,-0.002,-0.007,True,0.0442,-0.0064,0.7022,rejected
sue_standardized,scenario,earnings,,False,35916,120,0.0242,1.73,0.083,False,0.0019,0.5917,-0.0031,-0.008,True,0.0366,0.0002,0.5681,rejected
surprise_magnitude,scenario,earnings,,False,38725,120,0.0181,1.34,0.1791,False,0.0032,0.6417,-0.0018,-0.0068,True,0.0411,-0.0085,0.6772,rejected
positive_surprise_asymmetry,scenario,earnings,,False,38326,120,0.0246,1.82,0.0689,False,0.0029,0.625,-0.0021,-0.0071,True,0.0488,-0.0088,0.6955,rejected
earnings_momentum,scenario,earnings,,False,37385,120,0.0115,0.74,0.4573,False,0.0011,0.5917,-0.0039,-0.0088,False,-0.002,0.0139,0.7058,rejected
earnings_acceleration,scenario,earnings,,False,37020,120,0.0255,2.24,0.0252,False,0.0053,0.5917,0.0003,-0.0046,True,0.0371,0.012,0.7167,rejected
beat_streak,scenario,earnings,,False,38725,120,0.0054,0.42,0.6761,False,-0.0017,0.4167,-0.0066,-0.0116,False,0.0289,-0.0304,0.5346,rejected
surprise_fade,scenario,earnings,,False,36862,120,-0.0234,-1.68,0.0929,False,-0.0029,0.6417,-0.0079,-0.0129,False,-0.0442,0.0064,0.7389,rejected
revenue_growth,scenario,fundamentals,,True,30012,120,0.0073,0.43,0.665,False,0.0017,0.5333,-0.0033,-0.0082,False,0.0133,0.0122,0.4382,rejected
earnings_growth,scenario,fundamentals,,True,38084,120,0.004,0.3,0.7629,False,0.0018,0.55,-0.0032,-0.0081,False,0.0111,0.0068,0.3572,rejected
gross_margin,scenario,fundamentals,,True,38216,120,0.0016,0.13,0.895,False,-0.0032,0.5167,-0.0082,-0.0131,False,0.0097,-0.0098,0.7413,rejected
operating_margin,scenario,fundamentals,,True,38229,120,0.0014,0.1,0.9182,False,-0.0025,0.4667,-0.0075,-0.0125,False,-0.001,-0.0128,0.6223,rejected
fcf_margin,scenario,fundamentals,,True,37257,120,0.0202,1.84,0.066,False,0.0035,0.5667,-0.0015,-0.0065,True,0.0153,0.0171,0.641,rejected
roa_quality,scenario,fundamentals,,True,38142,120,0.0111,0.72,0.4703,False,-0.004,0.475,-0.009,-0.014,True,0.003,0.0056,0.4125,rejected
low_leverage,scenario,fundamentals,,True,38001,120,0.0036,0.26,0.7919,False,-0.0011,0.4833,-0.0061,-0.011,False,-0.0117,0.02,0.7188,rejected
quality_composite,scenario,fundamentals,,True,37178,120,0.022,1.97,0.0486,False,0.0038,0.5333,-0.0012,-0.0062,True,0.0165,0.0178,0.5447,rejected
balance_sheet_strength,scenario,fundamentals,,True,37962,120,0.0289,1.97,0.0486,False,0.009,0.675,0.0041,-0.0009,True,0.0158,0.024,0.61,rejected
quality_improvement,scenario,fundamentals,,True,38725,120,0.0089,0.66,0.5074,False,0.004,0.5917,-0.001,-0.0059,False,0.0286,-0.0098,0.4419,rejected
earnings_yield_value,scenario,valuation,,True,37094,120,0.0078,0.46,0.6461,False,-0.0024,0.525,-0.0073,-0.0123,False,0.0,0.0052,0.6072,rejected
margin_expansion,scenario,fundamentals,,True,38045,120,0.0147,1.11,0.2668,False,0.006,0.5583,0.001,-0.004,True,0.0376,-0.001,0.6578,rejected
price_momentum_21,scenario,price,,False,20669,119,0.0089,0.61,0.543,False,0.0074,0.5546,0.0024,-0.0026,True,0.0202,-0.0082,0.7826,rejected
price_momentum_63,scenario,price,,False,20472,119,0.0032,0.18,0.8562,False,-0.0012,0.479,-0.0062,-0.0112,False,0.0086,-0.0029,0.7662,rejected
low_volatility,scenario,price,,False,20775,119,-0.0137,-0.64,0.5235,False,-0.0138,0.6303,-0.0188,-0.0238,False,-0.0294,-0.0068,0.6905,rejected
low_beta,scenario,price,,False,20767,119,-0.0147,-0.61,0.5409,False,-0.0077,0.5462,-0.0127,-0.0177,False,-0.0212,0.0053,0.7568,rejected
liquidity,scenario,price,,False,0,0,,,,False,,,,,False,,,,rejected
sector_leadership,scenario,price,,True,20669,119,0.006,0.44,0.6614,False,0.0052,0.4874,0.0002,-0.0048,False,0.0113,-0.0099,0.8127,rejected
price_reversal_21,scenario,price,,False,20669,119,0.0089,0.61,0.543,False,0.0074,0.5546,0.0024,-0.0026,True,0.0202,-0.0082,0.7826,rejected
beta_signal,scenario,price,,False,20767,119,-0.0147,-0.61,0.5409,False,-0.0077,0.5462,-0.0127,-0.0177,False,-0.0212,0.0053,0.7568,rejected
low_vol_sector_neutral,scenario,price,,True,20775,119,-0.0214,-1.07,0.2842,False,-0.013,0.5798,-0.018,-0.0229,False,-0.0362,-0.0058,0.8834,rejected
sector_relative_strength,scenario,price,,True,20472,119,-0.0006,-0.03,0.9731,False,-0.0017,0.4706,-0.0067,-0.0117,False,0.0104,-0.0052,0.8131,rejected
surprise_high_rates,scenario,regime,,False,18501,47,0.0079,0.42,0.6718,False,-0.0035,0.383,-0.0085,-0.0135,True,0.0232,-0.0072,0.6695,rejected
