name,kind,top_sector,top_sector_share,hhi,single_sector_dominated
earnings_surprise,scenario,Unknown,0.7022,0.5064,True
sue_standardized,scenario,Unknown,0.5681,0.351,False
surprise_magnitude,scenario,Unknown,0.6772,0.4731,True
positive_surprise_asymmetry,scenario,Unknown,0.6955,0.4978,True
earnings_momentum,scenario,Unknown,0.7058,0.5127,True
earnings_acceleration,scenario,Unknown,0.7167,0.5253,True
beat_streak,scenario,Unknown,0.5346,0.3231,False
surprise_fade,scenario,Unknown,0.7389,0.5544,True
revenue_growth,scenario,Unknown,0.4382,0.2391,False
earnings_growth,scenario,Unknown,0.3572,0.1763,False
gross_margin,scenario,Unknown,0.7413,0.5617,True
operating_margin,scenario,Unknown,0.6223,0.4195,True
fcf_margin,scenario,Unknown,0.641,0.439,True
roa_quality,scenario,Unknown,0.4125,0.2269,False
low_leverage,scenario,Unknown,0.7188,0.565,True
quality_composite,scenario,Unknown,0.5447,0.355,False
balance_sheet_strength,scenario,Unknown,0.61,0.3979,True
quality_improvement,scenario,Unknown,0.4419,0.2394,False
earnings_yield_value,scenario,Unknown,0.6072,0.3902,True
margin_expansion,scenario,Unknown,0.6578,0.4497,True
price_momentum_21,scenario,Unknown,0.7826,0.62,True
price_momentum_63,scenario,Unknown,0.7662,0.5958,True
low_volatility,scenario,Unknown,0.6905,0.4895,True
low_beta,scenario,Unknown,0.7568,0.5823,True
liquidity,scenario,,,,False
sector_leadership,scenario,Unknown,0.8127,0.6664,True
price_reversal_21,scenario,Unknown,0.7826,0.62,True
beta_signal,scenario,Unknown,0.7568,0.5823,True
low_vol_sector_neutral,scenario,Unknown,0.8834,0.7836,True
sector_relative_strength,scenario,Unknown,0.8131,0.6671,True
surprise_high_rates,scenario,Unknown,0.6695,0.4651,True
surprise_easy_curve,scenario,Unknown,0.6882,0.4885,True
surprise_drawdown,scenario,Unknown,0.8196,0.6763,True
surprise_high_oil,scenario,Unknown,0.6945,0.4963,True
sue_easy_curve,scenario,Unknown,0.556,0.3391,False
surprise_x_quality,scenario,Unknown,0.6985,0.5017,True
surprise_x_qualimp,scenario,Unknown,0.7027,0.5072,True
surprise_x_margin_exp,scenario,Unknown,0.6987,0.5014,True
surprise_x_valuation,scenario,Unknown,0.7586,0.5845,True
surprise_x_momentum,scenario,Unknown,0.7842,0.6221,True
surprise_x_lowvol,scenario,Unknown,0.6906,0.4895,True
sue_x_quality,scenario,Unknown,0.5226,0.3147,False
sue_x_momentum,scenario,Unknown,0.7774,0.6122,True
beats_x_momentum,scenario,Unknown,0.6773,0.4802,True
accel_x_quality,scenario,Unknown,0.5245,0.3166,False
accel_x_momentum,scenario,Unknown,0.7627,0.5907,True
surprise_sector_neutral,scenario,Unknown,0.6357,0.4233,True
sue_sector_neutral,scenario,Unknown,0.417,0.2157,False
earnings_blend__equal,model,Unknown,0.7757,0.609,True
earnings_blend__ic_sign,model,Unknown,0.7958,0.639,True
earnings_blend__ic_weighted,model,Unknown,0.7862,0.6243,True
quality_blend__equal,model,Unknown,0.6904,0.4996,True
quality_blend__ic_sign,model,Unknown,0.7137,0.526,True
quality_blend__ic_weighted,model,Unknown,0.7058,0.5156,True
value_price_blend__equal,model,Unknown,0.7579,0.5824,True
value_price_blend__ic_sign,model,Unknown,0.7801,0.6153,True
value_price_blend__ic_weighted,model,Unknown,0.7862,0.6243,True
kitchen_sink_blend__equal,model,Unknown,0.8188,0.6762,True
kitchen_sink_blend__ic_sign,model,Unknown,0.8235,0.6834,True
kitchen_sink_blend__ic_weighted,model,Unknown,0.8206,0.6787,True
