name,kind,first_half_ic,second_half_ic,subperiod_stable,n_months
earnings_surprise,scenario,0.0467,0.0,True,120
sue_standardized,scenario,0.0343,0.0141,True,120
surprise_magnitude,scenario,0.0362,0.0,True,120
positive_surprise_asymmetry,scenario,0.0444,0.0049,True,120
earnings_momentum,scenario,0.0264,-0.0034,False,120
earnings_acceleration,scenario,0.0455,0.0056,True,120
beat_streak,scenario,0.0126,-0.0018,False,120
surprise_fade,scenario,-0.0467,-0.0,False,120
revenue_growth,scenario,-0.0054,0.02,False,120
earnings_growth,scenario,-0.0031,0.0111,False,120
gross_margin,scenario,0.0165,-0.0132,False,120
operating_margin,scenario,0.004,-0.0011,False,120
fcf_margin,scenario,0.0285,0.012,True,120
roa_quality,scenario,0.0118,0.0105,True,120
low_leverage,scenario,-0.017,0.0242,False,120
quality_composite,scenario,0.0283,0.0158,True,120
balance_sheet_strength,scenario,0.0332,0.0245,True,120
quality_improvement,scenario,0.0193,-0.0015,False,120
earnings_yield_value,scenario,-0.0314,0.047,False,120
margin_expansion,scenario,0.0257,0.0037,True,120
price_momentum_21,scenario,0.0174,0.0005,True,119
price_momentum_63,scenario,0.0245,-0.0177,False,119
low_volatility,scenario,-0.0267,-0.001,False,119
low_beta,scenario,-0.0112,-0.0183,False,119
liquidity,scenario,,,False,0
sector_leadership,scenario,0.0175,-0.0054,False,119
price_reversal_21,scenario,0.0174,0.0005,True,119
beta_signal,scenario,-0.0112,-0.0183,False,119
low_vol_sector_neutral,scenario,-0.0302,-0.0127,False,119
sector_relative_strength,scenario,0.0202,-0.0209,False,119
surprise_high_rates,scenario,0.006,0.0098,True,47
surprise_easy_curve,scenario,0.0252,0.0266,True,96
surprise_drawdown,scenario,-0.0007,0.0516,False,20
surprise_high_oil,scenario,0.0355,0.0108,True,80
sue_easy_curve,scenario,0.043,0.0073,True,96
surprise_x_quality,scenario,0.048,0.0018,True,120
surprise_x_qualimp,scenario,0.0465,0.0,True,120
surprise_x_margin_exp,scenario,0.0332,-0.0122,False,120
surprise_x_valuation,scenario,0.0094,0.009,True,120
surprise_x_momentum,scenario,0.0223,0.0031,True,119
surprise_x_lowvol,scenario,-0.0164,-0.011,False,119
sue_x_quality,scenario,0.0025,-0.0056,False,120
sue_x_momentum,scenario,0.011,0.001,True,119
beats_x_momentum,scenario,0.0215,-0.0121,False,119
accel_x_quality,scenario,0.0071,-0.0019,False,120
accel_x_momentum,scenario,0.0224,-0.0192,False,119
surprise_sector_neutral,scenario,0.0471,-0.0067,False,120
sue_sector_neutral,scenario,0.0338,0.016,True,120
earnings_blend__equal,model,0.005,0.0108,True,96
earnings_blend__ic_sign,model,-0.0451,-0.0128,False,96
earnings_blend__ic_weighted,model,-0.0376,-0.0136,False,96
quality_blend__equal,model,0.0205,0.0194,True,96
quality_blend__ic_sign,model,-0.0217,0.0238,False,96
quality_blend__ic_weighted,model,-0.0238,0.0319,False,96
value_price_blend__equal,model,0.0154,-0.007,False,96
value_price_blend__ic_sign,model,-0.0377,0.0146,False,96
value_price_blend__ic_weighted,model,-0.0165,0.0058,False,96
kitchen_sink_blend__equal,model,0.0271,0.0003,True,96
kitchen_sink_blend__ic_sign,model,-0.0379,0.0124,False,96
kitchen_sink_blend__ic_weighted,model,-0.0303,0.0116,False,96
