name,kind,avg_top_quintile_turnover,interpretation
earnings_surprise,scenario,0.9947,fraction of top-quintile names replaced month-over-month
sue_standardized,scenario,0.9954,fraction of top-quintile names replaced month-over-month
surprise_magnitude,scenario,0.9953,fraction of top-quintile names replaced month-over-month
positive_surprise_asymmetry,scenario,0.9948,fraction of top-quintile names replaced month-over-month
earnings_momentum,scenario,0.9937,fraction of top-quintile names replaced month-over-month
earnings_acceleration,scenario,0.9925,fraction of top-quintile names replaced month-over-month
beat_streak,scenario,0.9943,fraction of top-quintile names replaced month-over-month
surprise_fade,scenario,0.9927,fraction of top-quintile names replaced month-over-month
revenue_growth,scenario,0.9961,fraction of top-quintile names replaced month-over-month
earnings_growth,scenario,0.9935,fraction of top-quintile names replaced month-over-month
gross_margin,scenario,0.9935,fraction of top-quintile names replaced month-over-month
operating_margin,scenario,0.9954,fraction of top-quintile names replaced month-over-month
fcf_margin,scenario,0.9959,fraction of top-quintile names replaced month-over-month
roa_quality,scenario,0.9944,fraction of top-quintile names replaced month-over-month
low_leverage,scenario,0.9927,fraction of top-quintile names replaced month-over-month
quality_composite,scenario,0.9964,fraction of top-quintile names replaced month-over-month
balance_sheet_strength,scenario,0.9931,fraction of top-quintile names replaced month-over-month
quality_improvement,scenario,0.9944,fraction of top-quintile names replaced month-over-month
earnings_yield_value,scenario,0.9892,fraction of top-quintile names replaced month-over-month
margin_expansion,scenario,0.9917,fraction of top-quintile names replaced month-over-month
price_momentum_21,scenario,0.9994,fraction of top-quintile names replaced month-over-month
price_momentum_63,scenario,0.9997,fraction of top-quintile names replaced month-over-month
low_volatility,scenario,0.9953,fraction of top-quintile names replaced month-over-month
low_beta,scenario,0.9957,fraction of top-quintile names replaced month-over-month
liquidity,scenario,,fraction of top-quintile names replaced month-over-month
sector_leadership,scenario,0.9996,fraction of top-quintile names replaced month-over-month
price_reversal_21,scenario,0.9994,fraction of top-quintile names replaced month-over-month
beta_signal,scenario,0.9957,fraction of top-quintile names replaced month-over-month
low_vol_sector_neutral,scenario,0.9962,fraction of top-quintile names replaced month-over-month
sector_relative_strength,scenario,0.9995,fraction of top-quintile names replaced month-over-month
surprise_high_rates,scenario,0.9996,fraction of top-quintile names replaced month-over-month
surprise_easy_curve,scenario,0.9934,fraction of top-quintile names replaced month-over-month
surprise_drawdown,scenario,0.9868,fraction of top-quintile names replaced month-over-month
surprise_high_oil,scenario,0.9876,fraction of top-quintile names replaced month-over-month
sue_easy_curve,scenario,0.9943,fraction of top-quintile names replaced month-over-month
surprise_x_quality,scenario,0.9947,fraction of top-quintile names replaced month-over-month
surprise_x_qualimp,scenario,0.9947,fraction of top-quintile names replaced month-over-month
surprise_x_margin_exp,scenario,0.9955,fraction of top-quintile names replaced month-over-month
surprise_x_valuation,scenario,0.9907,fraction of top-quintile names replaced month-over-month
surprise_x_momentum,scenario,0.9998,fraction of top-quintile names replaced month-over-month
surprise_x_lowvol,scenario,0.9984,fraction of top-quintile names replaced month-over-month
sue_x_quality,scenario,0.9945,fraction of top-quintile names replaced month-over-month
sue_x_momentum,scenario,0.9994,fraction of top-quintile names replaced month-over-month
beats_x_momentum,scenario,0.9993,fraction of top-quintile names replaced month-over-month
accel_x_quality,scenario,0.9946,fraction of top-quintile names replaced month-over-month
accel_x_momentum,scenario,0.9997,fraction of top-quintile names replaced month-over-month
surprise_sector_neutral,scenario,0.9949,fraction of top-quintile names replaced month-over-month
sue_sector_neutral,scenario,0.9987,fraction of top-quintile names replaced month-over-month
earnings_blend__equal,model,0.9997,fraction of top-quintile names replaced month-over-month
earnings_blend__ic_sign,model,0.9996,fraction of top-quintile names replaced month-over-month
earnings_blend__ic_weighted,model,0.9993,fraction of top-quintile names replaced month-over-month
quality_blend__equal,model,0.9991,fraction of top-quintile names replaced month-over-month
quality_blend__ic_sign,model,0.9993,fraction of top-quintile names replaced month-over-month
quality_blend__ic_weighted,model,0.9991,fraction of top-quintile names replaced month-over-month
value_price_blend__equal,model,0.9975,fraction of top-quintile names replaced month-over-month
value_price_blend__ic_sign,model,0.9975,fraction of top-quintile names replaced month-over-month
value_price_blend__ic_weighted,model,0.9978,fraction of top-quintile names replaced month-over-month
kitchen_sink_blend__equal,model,0.9993,fraction of top-quintile names replaced month-over-month
kitchen_sink_blend__ic_sign,model,0.9995,fraction of top-quintile names replaced month-over-month
kitchen_sink_blend__ic_weighted,model,0.9988,fraction of top-quintile names replaced month-over-month
