model,window,train_start,train_end,test_start,test_end,n_test_months,oos_mean_ic
earnings_blend__equal,0,2016-06,2018-05,2018-06,2018-11,6,-0.0289
earnings_blend__equal,1,2016-12,2018-11,2018-12,2019-05,6,-0.0023
earnings_blend__equal,2,2017-06,2019-05,2019-06,2019-11,6,-0.094
earnings_blend__equal,3,2017-12,2019-11,2019-12,2020-05,6,0.0156
earnings_blend__equal,4,2018-06,2020-05,2020-06,2020-11,6,0.1582
earnings_blend__equal,5,2018-12,2020-11,2020-12,2021-05,6,0.0244
earnings_blend__equal,6,2019-06,2021-05,2021-06,2021-11,6,0.0601
earnings_blend__equal,7,2019-12,2021-11,2021-12,2022-05,6,-0.0935
earnings_blend__equal,8,2020-06,2022-05,2022-06,2022-11,6,0.0394
earnings_blend__equal,9,2020-12,2022-11,2022-12,2023-05,6,0.1096
earnings_blend__equal,10,2021-06,2023-05,2023-06,2023-11,6,0.0243
earnings_blend__equal,11,2021-12,2023-11,2023-12,2024-05,6,-0.077
earnings_blend__equal,12,2022-06,2024-05,2024-06,2024-11,6,-0.0307
earnings_blend__equal,13,2022-12,2024-11,2024-12,2025-05,6,-0.0426
earnings_blend__equal,14,2023-06,2025-05,2025-06,2025-11,6,0.0236
earnings_blend__equal,15,2023-12,2025-11,2025-12,2026-05,6,0.0398
earnings_blend__ic_sign,0,2016-06,2018-05,2018-06,2018-11,6,-0.0289
earnings_blend__ic_sign,1,2016-12,2018-11,2018-12,2019-05,6,-0.0023
earnings_blend__ic_sign,2,2017-06,2019-05,2019-06,2019-11,6,-0.094
earnings_blend__ic_sign,3,2017-12,2019-11,2019-12,2020-05,6,0.0196
earnings_blend__ic_sign,4,2018-06,2020-05,2020-06,2020-11,6,-0.1371
earnings_blend__ic_sign,5,2018-12,2020-11,2020-12,2021-05,6,0.0244
earnings_blend__ic_sign,6,2019-06,2021-05,2021-06,2021-11,6,-0.0486
earnings_blend__ic_sign,7,2019-12,2021-11,2021-12,2022-05,6,-0.0935
earnings_blend__ic_sign,8,2020-06,2022-05,2022-06,2022-11,6,0.0394
earnings_blend__ic_sign,9,2020-12,2022-11,2022-12,2023-05,6,0.0801
earnings_blend__ic_sign,10,2021-06,2023-05,2023-06,2023-11,6,0.0243
earnings_blend__ic_sign,11,2021-12,2023-11,2023-12,2024-05,6,-0.077
earnings_blend__ic_sign,12,2022-06,2024-05,2024-06,2024-11,6,-0.0307
earnings_blend__ic_sign,13,2022-12,2024-11,2024-12,2025-05,6,-0.075
earnings_blend__ic_sign,14,2023-06,2025-05,2025-06,2025-11,6,-0.0236
earnings_blend__ic_sign,15,2023-12,2025-11,2025-12,2026-05,6,-0.0398
earnings_blend__ic_weighted,0,2016-06,2018-05,2018-06,2018-11,6,-0.0336
earnings_blend__ic_weighted,1,2016-12,2018-11,2018-12,2019-05,6,-0.0025
earnings_blend__ic_weighted,2,2017-06,2019-05,2019-06,2019-11,6,-0.1106
earnings_blend__ic_weighted,3,2017-12,2019-11,2019-12,2020-05,6,0.0434
earnings_blend__ic_weighted,4,2018-06,2020-05,2020-06,2020-11,6,-0.173
earnings_blend__ic_weighted,5,2018-12,2020-11,2020-12,2021-05,6,0.0416
earnings_blend__ic_weighted,6,2019-06,2021-05,2021-06,2021-11,6,0.0296
earnings_blend__ic_weighted,7,2019-12,2021-11,2021-12,2022-05,6,-0.0957
earnings_blend__ic_weighted,8,2020-06,2022-05,2022-06,2022-11,6,0.0418
earnings_blend__ic_weighted,9,2020-12,2022-11,2022-12,2023-05,6,0.0746
earnings_blend__ic_weighted,10,2021-06,2023-05,2023-06,2023-11,6,-0.0021
earnings_blend__ic_weighted,11,2021-12,2023-11,2023-12,2024-05,6,-0.0838
earnings_blend__ic_weighted,12,2022-06,2024-05,2024-06,2024-11,6,-0.0339
earnings_blend__ic_weighted,13,2022-12,2024-11,2024-12,2025-05,6,-0.0268
earnings_blend__ic_weighted,14,2023-06,2025-05,2025-06,2025-11,6,-0.0292
earnings_blend__ic_weighted,15,2023-12,2025-11,2025-12,2026-05,6,-0.0496
quality_blend__equal,0,2016-06,2018-05,2018-06,2018-11,6,-0.0461
quality_blend__equal,1,2016-12,2018-11,2018-12,2019-05,6,0.0539
quality_blend__equal,2,2017-06,2019-05,2019-06,2019-11,6,0.1235
quality_blend__equal,3,2017-12,2019-11,2019-12,2020-05,6,0.0344
quality_blend__equal,4,2018-06,2020-05,2020-06,2020-11,6,0.0663
quality_blend__equal,5,2018-12,2020-11,2020-12,2021-05,6,-0.1176
quality_blend__equal,6,2019-06,2021-05,2021-06,2021-11,6,0.149
quality_blend__equal,7,2019-12,2021-11,2021-12,2022-05,6,-0.0996
quality_blend__equal,8,2020-06,2022-05,2022-06,2022-11,6,-0.0565
quality_blend__equal,9,2020-12,2022-11,2022-12,2023-05,6,0.118
quality_blend__equal,10,2021-06,2023-05,2023-06,2023-11,6,0.1153
quality_blend__equal,11,2021-12,2023-11,2023-12,2024-05,6,0.0663
quality_blend__equal,12,2022-06,2024-05,2024-06,2024-11,6,0.073
quality_blend__equal,13,2022-12,2024-11,2024-12,2025-05,6,-0.0924
quality_blend__equal,14,2023-06,2025-05,2025-06,2025-11,6,-0.05
quality_blend__equal,15,2023-12,2025-11,2025-12,2026-05,6,-0.0188
quality_blend__ic_sign,0,2016-06,2018-05,2018-06,2018-11,6,-0.0461
quality_blend__ic_sign,1,2016-12,2018-11,2018-12,2019-05,6,0.0539
quality_blend__ic_sign,2,2017-06,2019-05,2019-06,2019-11,6,0.1235
quality_blend__ic_sign,3,2017-12,2019-11,2019-12,2020-05,6,-0.0346
quality_blend__ic_sign,4,2018-06,2020-05,2020-06,2020-11,6,-0.0259
quality_blend__ic_sign,5,2018-12,2020-11,2020-12,2021-05,6,-0.1176
quality_blend__ic_sign,6,2019-06,2021-05,2021-06,2021-11,6,-0.0269
quality_blend__ic_sign,7,2019-12,2021-11,2021-12,2022-05,6,-0.0996
quality_blend__ic_sign,8,2020-06,2022-05,2022-06,2022-11,6,0.0193
quality_blend__ic_sign,9,2020-12,2022-11,2022-12,2023-05,6,0.0244
quality_blend__ic_sign,10,2021-06,2023-05,2023-06,2023-11,6,0.0832
quality_blend__ic_sign,11,2021-12,2023-11,2023-12,2024-05,6,0.0107
quality_blend__ic_sign,12,2022-06,2024-05,2024-06,2024-11,6,0.073
quality_blend__ic_sign,13,2022-12,2024-11,2024-12,2025-05,6,-0.0924
quality_blend__ic_sign,14,2023-06,2025-05,2025-06,2025-11,6,0.0755
quality_blend__ic_sign,15,2023-12,2025-11,2025-12,2026-05,6,-0.003
