ticker,newly_scoreable_from_8v
A,True
AAPL,False
ABBV,False
ABNB,False
ABT,False
ACGL,True
ACN,False
ADBE,False
ADI,False
ADM,True
ADP,False
ADSK,True
AEE,True
AEM,False
AEP,False
AES,True
AFL,False
AIG,True
AIZ,True
AJG,True
AKAM,True
ALAB,False
ALB,True
ALGN,True
ALL,True
ALLE,True
AMAT,False
AMCR,True
AMD,False
AME,True
AMGN,False
AMP,True
AMT,False
AMX,False
AMZN,False
ANET,False
AON,False
AOS,True
APA,True
APD,False
APH,False
APO,False
APP,False
APTV,True
ARE,True
ARES,True
ARM,False
ASML,False
ASX,False
ATEYY,False
ATO,True
AVB,True
AVGO,False
AVY,True
AWK,True
AXON,True
AXP,False
AZN,False
AZO,True
B,False
BA,False
BABA,False
BAC,False
BAESY,False
BALL,True
BAM,False
BAX,True
BBVA,False
BBY,True
BCS,False
BDX,True
BE,False
BEN,True
BG,True
BHP,False
BIIB,True
BKNG,False
BKR,False
BLDR,True
BLK,False
BMO,False
BMY,False
BN,False
BNS,False
BNY,False
BP,False
BR,True
BRO,True
BSX,False
BTI,False
BUD,False
BX,False
BXP,True
C,False
CAG,True
CAH,True
CARR,True
CASY,True
CAT,False
CB,False
CBOE,True
CBRE,True
CCI,True
CCL,True
CDNS,False
CDW,True
CEG,False
CF,True
CFG,True
CHD,True
CHRW,True
CHTR,True
CI,False
CIEN,False
CINF,True
CL,False
CLX,True
CM,False
CMCSA,False
CME,False
CMG,True
CMI,False
CMS,True
CNC,True
CNI,False
CNP,True
CNQ,False
COF,False
COHR,False
COIN,True
COO,True
COP,False
COR,True
COST,False
CP,False
CPAY,True
CPRT,True
CPT,True
CRH,False
CRL,True
CRM,False
CRWD,False
CSCO,False
CSGP,True
CSX,False
CTAS,False
CTSH,True
CTVA,True
CVNA,False
CVS,False
CVX,False
CYATY,False
D,False
DAL,True
DASH,False
DB,False
DD,True
DDOG,False
DE,False
DECK,True
DELL,False
DG,True
DGX,True
DHI,True
DHR,False
DIS,False
DLR,False
DLTR,True
DOC,True
DOV,True
DOW,True
DPZ,True
DRI,True
DTE,True
DTEGY,False
DUK,False
DVA,True
DVN,True
DXCM,True
E,False
EA,True
EBAY,True
ECL,False
ED,True
EFX,True
EG,True
EIX,True
EL,True
ELV,False
EME,True
EMR,False
ENB,False
EOG,False
EPD,False
EQIX,False
EQNR,False
EQR,True
EQT,True
ERIE,True
ES,True
ESS,True
ET,False
ETN,False
ETR,True
EVRG,True
EW,True
EXC,True
EXE,True
EXPD,True
EXPE,True
EXR,True
F,False
FANG,True
FAST,True
FCX,False
FDS,True
FDX,False
FE,True
FFIV,True
FICO,True
FIS,True
FISV,True
FITB,True
FIX,False
FLEX,True
FOX,True
FOXA,True
FRT,True
FSLR,True
FTNT,False
FTV,True
GD,False
GDDY,True
GE,False
GEHC,True
GEN,True
GEV,False
GILD,False
GIS,True
GL,True
GLW,False
GM,False
GNRC,True
GOOG,True
GOOGL,False
GPC,True
GPN,True
GRMN,True
GS,False
GSK,False
GWW,False
HAL,True
HAS,True
HBAN,True
HCA,False
HD,False
HDB,False
HIG,True
HII,True
HLT,False
HON,False
HOOD,False
HPE,False
HPQ,True
HRL,True
HSBC,False
HSIC,True
HST,True
HSY,True
HTHIY,False
HUBB,True
HUM,True
HWM,False
IBKR,False
IBM,False
IBN,False
ICE,False
IDXX,True
IEX,True
IFF,True
IFNNY,False
IMO,False
INCY,True
ING,False
INTC,False
INTU,False
INVH,True
IP,True
IQV,True
IR,True
IRM,True
ISRG,False
IT,True
ITUB,False
ITW,False
IVZ,True
J,True
JBHT,True
JBL,True
JCI,False
JKHY,True
JNJ,False
JPM,False
KDP,True
KEY,True
KEYS,False
KHC,True
KIM,True
KKR,False
KLAC,False
KMB,True
KMI,False
KO,False
KR,True
KVUE,True
KXIAY,False
L,True
LDOS,True
LEN,True
LH,True
LHX,True
LII,True
LIN,False
LITE,False
LLY,False
LMT,False
LNT,True
LOW,False
LRCX,False
LSEGY,False
LULU,True
LUV,True
LVS,True
LYB,True
LYG,False
LYV,True
MA,False
MAA,True
MAR,False
MAS,True
MCD,False
MCHP,True
MCK,False
MCO,False
MDLN,False
MDLZ,False
MDT,False
MELI,False
MET,True
META,False
MFC,False
MFG,False
MGCLY,False
MGM,True
MKC,True
MLM,True
MMM,False
MNST,False
MO,False
MOS,True
MPC,False
MPWR,False
MRK,False
MRNA,True
MRSH,False
MRVL,False
MS,False
MSCI,True
MSFT,False
MSI,False
MTB,True
MTD,True
MU,False
MUFG,False
NBIS,False
NCLH,True
NDAQ,True
NDSN,True
NEE,False
NEM,False
NET,False
NFLX,False
NGG,False
NI,True
NKE,False
NOC,False
NOK,False
NOW,False
NRG,True
NSC,False
NTAP,True
NTES,False
NTRS,True
NU,False
NUE,False
NVDA,False
NVO,False
NVR,True
NVS,False
NWG,False
NWS,True
NWSA,True
NXPI,False
O,False
ODFL,True
OKE,True
OMC,True
ON,True
ORCL,False
ORLY,False
OTIS,True
OXY,True
PANW,False
PAYX,True
PBR,False
PCAR,False
PCG,True
PDD,False
PEG,True
PEP,False
PFE,False
PFG,True
PG,False
PGR,False
PH,False
PHM,True
PKG,True
PLD,False
PLTR,False
PM,False
PNC,False
PNR,True
PNW,True
PODD,True
PPG,True
PPL,True
PRU,True
PSA,True
PSKY,True
PSX,False
PTC,True
PWR,False
PYPL,True
Q,True
QCOM,False
RACE,False
RCL,False
REG,True
REGN,False
RELX,False
RF,True
RIO,False
RJF,True
RKLB,False
RL,True
RMD,True
ROK,True
ROL,True
ROP,True
ROST,False
RSG,False
RTNTF,False
RTX,False
RVTY,True
RY,False
SAN,False
SAP,False
SATS,True
SBAC,True
SBUX,False
SCCO,False
SCHW,False
SHEL,False
SHOP,False
SHW,False
SJM,True
SLB,False
SMERY,False
SMFG,False
SNA,True
SNDK,False
SNOW,False
SNPS,False
SNY,False
SO,False
SOLV,True
SONY,False
SPG,False
SPGI,False
SPOT,False
SRE,False
STE,True
STLD,True
STM,False
STT,True
STX,False
STZ,True
SU,False
SW,True
SWK,True
SWKS,True
SYK,False
T,False
TAP,True
TD,False
TDG,False
TECH,True
TEL,False
TER,False
TFC,False
TGT,False
TJX,False
TM,False
TMO,False
TMUS,False
TRGP,False
TRP,False
TRV,False
TSLA,False
TT,False
TTE,False
TXN,False
UBER,False
UBS,False
UL,False
UNH,False
UNP,False
UPS,False
URI,False
USB,False
V,False
VALE,False
VLO,False
VRT,False
VRTX,False
VZ,False
WBD,False
WDC,False
WELL,False
WFC,False
WM,False
WMB,False
WMT,False
XOM,False
XYZ,True
